wavelength,polarizability
542.5,-226.793
542.6,-226.94799999999998
542.7,-227.10299999999998
542.8,-227.25799999999998
542.9,-227.41400000000002
543.0,-227.56900000000002
543.1,-227.725
543.2,-227.88099999999997
543.3,-228.037
543.4,-228.192
543.5,-228.34799999999998
543.6,-228.505
543.7,-228.66099999999997
543.8,-228.817
543.9,-228.97299999999998
544.0,-229.13
544.1,-229.28599999999997
544.2,-229.44299999999998
544.3,-229.6
544.4,-229.75599999999997
544.5,-229.91299999999998
544.6,-230.07
544.7,-230.227
544.8,-230.385
544.9,-230.542
545.0,-230.699
545.1,-230.857
545.2,-231.014
545.3,-231.172
545.4,-231.33
545.5,-231.488
545.6,-231.645
545.7,-231.803
545.8,-231.96200000000002
545.9,-232.12
546.0,-232.278
546.1,-232.437
546.2,-232.595
546.3,-232.75400000000002
546.4,-232.912
546.5,-233.071
546.6,-233.23
546.7,-233.389
546.8,-233.548
546.9,-233.707
547.0,-233.86599999999999
547.1,-234.02599999999998
547.2,-234.185
547.3,-234.345
547.4,-234.50400000000002
547.5,-234.66400000000002
547.6,-234.824
547.7,-234.984
547.8,-235.144
547.9,-235.304
548.0,-235.46400000000003
548.1,-235.62400000000002
548.2,-235.785
548.3,-235.945
548.4,-236.106
548.5,-236.267
548.6,-236.42700000000002
548.7,-236.588
548.8,-236.74900000000002
548.9,-236.91
549.0,-237.072
549.1,-237.233
549.2,-237.394
549.3,-237.55599999999998
549.4,-237.717
549.5,-237.87900000000002
549.6,-238.041
549.7,-238.203
549.8,-238.365
549.9,-238.52700000000002
550.0,-238.68900000000002
550.1,-238.851
550.2,-239.014
550.3,-239.176
550.4,-239.33900000000003
550.5,-239.50099999999998
550.6,-239.66400000000002
550.7,-239.827
550.8,-239.99
550.9,-240.153
551.0,-240.31599999999997
551.1,-240.479
551.2,-240.643
551.3,-240.80599999999998
551.4,-240.97
551.5,-241.13299999999998
551.6,-241.297
551.7,-241.46099999999998
551.8,-241.625
551.9,-241.78900000000002
552.0,-241.953
552.1,-242.118
552.2,-242.282
552.3,-242.447
552.4,-242.611
552.5,-242.77599999999998
552.6,-242.94099999999997
552.7,-243.106
552.8,-243.271
552.9,-243.43599999999998
553.0,-243.601
553.1,-243.766
553.2,-243.93200000000002
553.3,-244.097
553.4,-244.263
553.5,-244.428
553.6,-244.59400000000002
553.7,-244.76
553.8,-244.926
553.9,-245.092
554.0,-245.25900000000001
554.1,-245.425
554.2,-245.59099999999998
554.3,-245.75799999999998
554.4,-245.925
554.5,-246.09099999999998
554.6,-246.25799999999998
554.7,-246.425
554.8,-246.592
554.9,-246.76
555.0,-246.92700000000002
555.1,-247.09400000000002
555.2,-247.262
555.3,-247.429
555.4,-247.597
555.5,-247.765
555.6,-247.933
555.7,-248.101
555.8,-248.269
555.9,-248.437
556.0,-248.606
556.1,-248.774
556.2,-248.94299999999998
556.3,-249.111
556.4,-249.28
556.5,-249.449
556.6,-249.618
556.7,-249.787
556.8,-249.956
556.9,-250.12599999999998
557.0,-250.295
557.1,-250.465
557.2,-250.63400000000001
557.3,-250.804
557.4,-250.97400000000002
557.5,-251.144
557.6,-251.31400000000002
557.7,-251.484
557.8,-251.655
557.9,-251.825
558.0,-251.995
558.1,-252.166
558.2,-252.33700000000002
558.3,-252.50799999999998
558.4,-252.679
558.5,-252.85
558.6,-253.021
558.7,-253.192
558.8,-253.364
558.9,-253.535
559.0,-253.707
559.1,-253.878
559.2,-254.05
559.3,-254.222
559.4,-254.394
559.5,-254.567
559.6,-254.739
559.7,-254.91099999999997
559.8,-255.084
559.9,-255.25599999999997
560.0,-255.429
560.1,-255.602
560.2,-255.775
560.3,-255.94799999999998
560.4,-256.121
560.5,-256.295
560.6,-256.468
560.7,-256.64099999999996
560.8,-256.815
560.9,-256.98900000000003
561.0,-257.163
561.1,-257.337
561.2,-257.51099999999997
561.3,-257.685
561.4,-257.85900000000004
561.5,-258.034
561.6,-258.20799999999997
561.7,-258.383
561.8,-258.558
561.9,-258.733
562.0,-258.908
562.1,-259.08299999999997
562.2,-259.258
562.3,-259.433
562.4,-259.60900000000004
562.5,-259.785
562.6,-259.96
562.7,-260.13599999999997
562.8,-260.312
562.9,-260.488
563.0,-260.664
563.1,-260.84
563.2,-261.017
563.3,-261.193
563.4,-261.37
563.5,-261.547
563.6,-261.724
563.7,-261.901
563.8,-262.078
563.9,-262.255
564.0,-262.432
564.1,-262.61
564.2,-262.78700000000003
564.3,-262.965
564.4,-263.143
564.5,-263.32099999999997
564.6,-263.499
564.7,-263.677
564.8,-263.855
564.9,-264.034
565.0,-264.212
565.1,-264.39099999999996
565.2,-264.57
565.3,-264.748
565.4,-264.927
565.5,-265.107
565.6,-265.286
565.7,-265.465
565.8,-265.645
565.9,-265.824
566.0,-266.004
566.1,-266.184
566.2,-266.36400000000003
566.3,-266.54400000000004
566.4,-266.724
566.5,-266.904
566.6,-267.085
566.7,-267.265
566.8,-267.44599999999997
566.9,-267.627
567.0,-267.808
567.1,-267.98900000000003
567.2,-268.17
567.3,-268.351
567.4,-268.533
567.5,-268.714
567.6,-268.89599999999996
567.7,-269.078
567.8,-269.26
567.9,-269.442
568.0,-269.624
568.1,-269.806
568.2,-269.988
568.3,-270.171
568.4,-270.35400000000004
568.5,-270.536
568.6,-270.719
568.7,-270.902
568.8,-271.085
568.9,-271.269
569.0,-271.452
569.1,-271.63599999999997
569.2,-271.819
569.3,-272.003
569.4,-272.187
569.5,-272.371
569.6,-272.555
569.7,-272.73900000000003
569.8,-272.92400000000004
569.9,-273.108
570.0,-273.293
570.1,-273.478
570.2,-273.66200000000003
570.3,-273.847
570.4,-274.033
570.5,-274.218
570.6,-274.403
570.7,-274.589
570.8,-274.774
570.9,-274.96
571.0,-275.14599999999996
571.1,-275.332
571.2,-275.518
571.3,-275.705
571.4,-275.89099999999996
571.5,-276.078
571.6,-276.264
571.7,-276.45099999999996
571.8,-276.638
571.9,-276.825
572.0,-277.012
572.1,-277.2
572.2,-277.387
572.3,-277.575
572.4,-277.762
572.5,-277.95
572.6,-278.138
572.7,-278.32599999999996
572.8,-278.514
572.9,-278.703
573.0,-278.89099999999996
573.1,-279.08
573.2,-279.269
573.3,-279.45799999999997
573.4,-279.647
573.5,-279.836
573.6,-280.025
573.7,-280.214
573.8,-280.404
573.9,-280.594
574.0,-280.783
574.1,-280.973
574.2,-281.163
574.3,-281.35400000000004
574.4,-281.54400000000004
574.5,-281.73400000000004
574.6,-281.925
574.7,-282.116
574.8,-282.307
574.9,-282.498
575.0,-282.689
575.1,-282.88
575.2,-283.07099999999997
575.3,-283.263
575.4,-283.455
575.5,-283.64599999999996
575.6,-283.83799999999997
575.7,-284.03
575.8,-284.222
575.9,-284.415
576.0,-284.607
576.1,-284.8
576.2,-284.993
576.3,-285.186
576.4,-285.379
576.5,-285.572
576.6,-285.765
576.7,-285.95799999999997
576.8,-286.152
576.9,-286.346
577.0,-286.539
577.1,-286.733
577.2,-286.927
577.3,-287.122
577.4,-287.316
577.5,-287.51099999999997
577.6,-287.705
577.7,-287.9
577.8,-288.095
577.9,-288.29
578.0,-288.485
578.1,-288.681
578.2,-288.876
578.3,-289.072
578.4,-289.267
578.5,-289.46299999999997
578.6,-289.659
578.7,-289.855
578.8,-290.052
578.9,-290.248
579.0,-290.445
579.1,-290.642
579.2,-290.83799999999997
579.3,-291.035
579.4,-291.233
579.5,-291.43
579.6,-291.627
579.7,-291.825
579.8,-292.02299999999997
579.9,-292.22
580.0,-292.418
580.1,-292.616
580.2,-292.815
580.3,-293.013
580.4,-293.212
580.5,-293.41
580.6,-293.60900000000004
580.7,-293.808
580.8,-294.007
580.9,-294.207
581.0,-294.406
581.1,-294.606
581.2,-294.805
581.3,-295.005
581.4,-295.205
581.5,-295.405
581.6,-295.606
581.7,-295.806
581.8,-296.006
581.9,-296.207
582.0,-296.408
582.1,-296.60900000000004
582.2,-296.81
582.3,-297.01099999999997
582.4,-297.21299999999997
582.5,-297.414
582.6,-297.616
582.7,-297.818
582.8,-298.02
582.9,-298.222
583.0,-298.42400000000004
583.1,-298.627
583.2,-298.83
583.3,-299.032
583.4,-299.235
583.5,-299.438
583.6,-299.64099999999996
583.7,-299.845
583.8,-300.048
583.9,-300.252
584.0,-300.45599999999996
584.1,-300.659
584.2,-300.86400000000003
584.3,-301.068
584.4,-301.272
584.5,-301.47700000000003
584.6,-301.681
584.7,-301.88599999999997
584.8,-302.091
584.9,-302.296
585.0,-302.501
585.1,-302.707
585.2,-302.91200000000003
585.3,-303.118
585.4,-303.324
585.5,-303.53
585.6,-303.736
585.7,-303.942
585.8,-304.149
585.9,-304.355
586.0,-304.562
586.1,-304.769
586.2,-304.976
586.3,-305.183
586.4,-305.39099999999996
586.5,-305.598
586.6,-305.806
586.7,-306.014
586.8,-306.222
586.9,-306.43
587.0,-306.638
587.1,-306.847
587.2,-307.055
587.3,-307.264
587.4,-307.473
587.5,-307.682
587.6,-307.89099999999996
587.7,-308.1
587.8,-308.31
587.9,-308.52
588.0,-308.72900000000004
588.1,-308.939
588.2,-309.149
588.3,-309.36
588.4,-309.57
588.5,-309.781
588.6,-309.992
588.7,-310.202
588.8,-310.413
588.9,-310.625
589.0,-310.836
589.1,-311.048
589.2,-311.259
589.3,-311.471
589.4,-311.683
589.5,-311.895
589.6,-312.108
589.7,-312.32
589.8,-312.533
589.9,-312.746
590.0,-312.95799999999997
590.1,-313.172
590.2,-313.385
590.3,-313.598
590.4,-313.812
590.5,-314.026
590.6,-314.24
590.7,-314.454
590.8,-314.668
590.9,-314.882
591.0,-315.097
591.1,-315.311
591.2,-315.526
591.3,-315.741
591.4,-315.95599999999996
591.5,-316.172
591.6,-316.387
591.7,-316.603
591.8,-316.819
591.9,-317.035
592.0,-317.251
592.1,-317.467
592.2,-317.684
592.3,-317.9
592.4,-318.117
592.5,-318.334
592.6,-318.551
592.7,-318.769
592.8,-318.986
592.9,-319.204
593.0,-319.421
593.1,-319.639
593.2,-319.857
593.3,-320.07599999999996
593.4,-320.29400000000004
593.5,-320.513
593.6,-320.732
593.7,-320.95
593.8,-321.17
593.9,-321.389
594.0,-321.608
594.1,-321.828
594.2,-322.048
594.3,-322.268
594.4,-322.488
594.5,-322.70799999999997
594.6,-322.928
594.7,-323.149
594.8,-323.37
594.9,-323.591
595.0,-323.812
595.1,-324.033
595.2,-324.254
595.3,-324.476
595.4,-324.698
595.5,-324.92
595.6,-325.142
595.7,-325.36400000000003
595.8,-325.587
595.9,-325.809
596.0,-326.032
596.1,-326.255
596.2,-326.478
596.3,-326.70099999999996
596.4,-326.925
596.5,-327.14799999999997
596.6,-327.372
596.7,-327.596
596.8,-327.82
596.9,-328.045
597.0,-328.269
597.1,-328.494
597.2,-328.719
597.3,-328.944
597.4,-329.16900000000004
597.5,-329.394
597.6,-329.62
597.7,-329.845
