wavelength,polarizability
1125.4,-291.23400000000004
1125.5,-295.39599999999996
1125.6,-299.54900000000004
1125.7,-303.695
1125.8,-307.835
1125.9,-311.971
1126.0,-316.10400000000004
1126.1,-320.235
1126.2,-324.368
1126.3,-328.50199999999995
1126.4,-332.64
1126.5,-336.784
1126.6,-340.935
1126.7,-345.096
1126.8,-349.26800000000003
1126.9,-353.45300000000003
1127.0,-357.653
1127.1,-361.87
1127.2,-366.10699999999997
1127.3,-370.366
1127.4,-374.648
1127.5,-378.958
1127.6,-383.29699999999997
1127.7,-387.668
1127.8,-392.074
1127.9,-396.517
1128.0,-401.00300000000004
1128.1,-405.532
1128.2,-410.111
1128.3,-414.741
1128.4,-419.42699999999996
1128.5,-424.175
1128.6,-428.98699999999997
1128.7,-433.87
1128.8,-438.829
1128.9,-443.87
1129.0,-448.99800000000005
1129.1,-454.221
1129.2,-459.546
1129.3,-464.981
1129.4,-470.535
1129.5,-476.216
1129.6,-482.037
1129.7,-488.00699999999995
1129.8,-494.14
1129.9,-500.449
1130.0,-506.949
1130.1,-513.658
1130.2,-520.594
1130.3,-527.779
1130.4,-535.235
1130.5,-542.99
1130.6,-551.073
1130.7,-559.518
1130.8,-568.363
1130.9,-577.654
1131.0,-587.44
1131.1,-597.78
1131.2,-608.742
1131.3,-620.406
1131.4,-632.864
1131.5,-646.227
1131.6,-660.628
1131.7,-676.2239999999999
1131.8,-693.21
1131.9,-711.819
1132.0,-732.347
1132.1,-755.16
1132.2,-780.727
1132.3,-809.653
1132.4,-842.7339999999999
1132.5,-881.041
1132.6,-926.046
1132.7,-979.832
1132.8,-1045.443
1132.9,-1127.521
1133.0,-1233.497
1133.1,-1376.069
1133.2,-1578.871
1133.3,-1891.474
1133.4,-2438.4139999999998
1133.5,-3647.085
1133.6,-8596.021
1133.7,14308.604
1133.8,3405.522
1133.9,1758.9920000000002
1134.0,1092.297
1134.1,730.4830000000001
1134.2,502.74800000000005
1134.3,345.793
1134.4,230.745
1134.5,142.55100000000002
1134.6,72.597
1134.7,15.595
1134.8,-31.881999999999998
1134.9,-72.148
1135.0,-106.82799999999999
1135.1,-137.092
1135.2,-163.80700000000002
1135.3,-187.625
1135.4,-209.051
1135.5,-228.479
1135.6,-246.222
1135.7,-262.53
1135.8,-277.608
1135.9,-291.625
1136.0,-304.719
1136.1,-317.006
1136.2,-328.586
1136.3,-339.541
1136.4,-349.94300000000004
1136.5,-359.853
1136.6,-369.325
1136.7,-378.403
1136.8,-387.13
1136.9,-395.539
1137.0,-403.664
1137.1,-411.531
1137.2,-419.165
1137.3,-426.588
1137.4,-433.82099999999997
1137.5,-440.88
1137.6,-447.783
1137.7,-454.54400000000004
1137.8,-461.176
1137.9,-467.69199999999995
1138.0,-474.102
1138.1,-480.417
1138.2,-486.647
1138.3,-492.8
1138.4,-498.884
1138.5,-504.908
1138.6,-510.87699999999995
1138.7,-516.8
1138.8,-522.681
1138.9,-528.5269999999999
1139.0,-534.344
1139.1,-540.137
1139.2,-545.91
1139.3,-551.67
1139.4,-557.42
1139.5,-563.165
1139.6,-568.909
1139.7,-574.656
1139.8,-580.411
1139.9,-586.178
1140.0,-591.96
1140.1,-597.761
1140.2,-603.585
1140.3,-609.436
1140.4,-615.317
1140.5,-621.2330000000001
1140.6,-627.186
1140.7,-633.181
1140.8,-639.22
1140.9,-645.309
1141.0,-651.45
1141.1,-657.648
1141.2,-663.905
1141.3,-670.227
1141.4,-676.617
1141.5,-683.079
1141.6,-689.617
1141.7,-696.2360000000001
1141.8,-702.939
1141.9,-709.732
1142.0,-716.6189999999999
1142.1,-723.6039999999999
1142.2,-730.693
1142.3,-737.8910000000001
1142.4,-745.203
1142.5,-752.635
1142.6,-760.192
1142.7,-767.88
