wavelength,polarizability
536.2,-217.192
536.3,-217.342
536.4,-217.492
536.5,-217.642
536.6,-217.792
536.7,-217.942
536.8,-218.092
536.9,-218.243
537,-218.393
537.1,-218.543
537.2,-218.694
537.3,-218.844
537.4,-218.995
537.5,-219.146
537.6,-219.297
537.7,-219.448
537.8,-219.599
537.9,-219.75
538,-219.901
538.1,-220.052
538.2,-220.203
538.3,-220.355
538.4,-220.506
538.5,-220.658
538.6,-220.81
538.7,-220.961
538.8,-221.113
538.9,-221.265
539,-221.417
539.1,-221.569
539.2,-221.722
539.3,-221.874
539.4,-222.026
539.5,-222.179
539.6,-222.331
539.7,-222.484
539.8,-222.637
539.9,-222.789
540,-222.942
540.1,-223.095
540.2,-223.248
540.3,-223.401
540.4,-223.555
540.5,-223.708
540.6,-223.861
540.7,-224.015
540.8,-224.168
540.9,-224.322
541,-224.476
541.1,-224.63
541.2,-224.784
541.3,-224.938
541.4,-225.092
541.5,-225.246
541.6,-225.4
541.7,-225.555
541.8,-225.709
541.9,-225.864
542,-226.018
542.1,-226.173
542.2,-226.328
542.3,-226.483
542.4,-226.638
542.5,-226.793
542.6,-226.948
542.7,-227.103
542.8,-227.258
542.9,-227.414
543,-227.569
543.1,-227.725
543.2,-227.881
543.3,-228.037
543.4,-228.192
543.5,-228.348
543.6,-228.505
543.7,-228.661
543.8,-228.817
543.9,-228.973
544,-229.13
544.1,-229.286
544.2,-229.443
544.3,-229.6
544.4,-229.756
544.5,-229.913
544.6,-230.07
544.7,-230.227
544.8,-230.385
544.9,-230.542
545,-230.699
545.1,-230.857
545.2,-231.014
545.3,-231.172
545.4,-231.33
545.5,-231.488
545.6,-231.645
545.7,-231.803
545.8,-231.962
545.9,-232.12
546,-232.278
546.1,-232.437
546.2,-232.595
546.3,-232.754
546.4,-232.912
546.5,-233.071
546.6,-233.23
546.7,-233.389
546.8,-233.548
546.9,-233.707
547,-233.866
547.1,-234.026
547.2,-234.185
547.3,-234.345
547.4,-234.504
547.5,-234.664
547.6,-234.824
547.7,-234.984
547.8,-235.144
547.9,-235.304
548,-235.464
548.1,-235.624
548.2,-235.785
548.3,-235.945
548.4,-236.106
548.5,-236.267
548.6,-236.427
548.7,-236.588
548.8,-236.749
548.9,-236.91
549,-237.072
549.1,-237.233
549.2,-237.394
549.3,-237.556
549.4,-237.717
549.5,-237.879
549.6,-238.041
549.7,-238.203
549.8,-238.365
549.9,-238.527
550,-238.689
550.1,-238.851
550.2,-239.014
550.3,-239.176
550.4,-239.339
550.5,-239.501
550.6,-239.664
550.7,-239.827
550.8,-239.99
550.9,-240.153
551,-240.316
551.1,-240.479
551.2,-240.643
551.3,-240.806
551.4,-240.97
551.5,-241.133
551.6,-241.297
551.7,-241.461
551.8,-241.625
551.9,-241.789
552,-241.953
552.1,-242.118
552.2,-242.282
552.3,-242.447
552.4,-242.611
552.5,-242.776
552.6,-242.941
552.7,-243.106
552.8,-243.271
552.9,-243.436
553,-243.601
553.1,-243.766
553.2,-243.932
553.3,-244.097
553.4,-244.263
553.5,-244.428
553.6,-244.594
553.7,-244.76
553.8,-244.926
553.9,-245.092
554,-245.259
554.1,-245.425
554.2,-245.591
554.3,-245.758
554.4,-245.925
554.5,-246.091
554.6,-246.258
554.7,-246.425
554.8,-246.592
554.9,-246.76
555,-246.927
555.1,-247.094
555.2,-247.262
555.3,-247.429
555.4,-247.597
555.5,-247.765
555.6,-247.933
555.7,-248.101
555.8,-248.269
555.9,-248.437
556,-248.606
556.1,-248.774
556.2,-248.943
556.3,-249.111
556.4,-249.28
556.5,-249.449
556.6,-249.618
556.7,-249.787
556.8,-249.956
556.9,-250.126
557,-250.295
557.1,-250.465
557.2,-250.634
557.3,-250.804
557.4,-250.974
557.5,-251.144
557.6,-251.314
557.7,-251.484
557.8,-251.655
557.9,-251.825
558,-251.995
558.1,-252.166
558.2,-252.337
558.3,-252.508
558.4,-252.679
558.5,-252.85
558.6,-253.021
558.7,-253.192
558.8,-253.364
558.9,-253.535
559,-253.707
559.1,-253.878
559.2,-254.05
559.3,-254.222
559.4,-254.394
559.5,-254.567
559.6,-254.739
559.7,-254.911
559.8,-255.084
559.9,-255.256
560,-255.429
560.1,-255.602
560.2,-255.775
560.3,-255.948
560.4,-256.121
560.5,-256.295
560.6,-256.468
560.7,-256.641
560.8,-256.815
560.9,-256.989
561,-257.163
561.1,-257.337
561.2,-257.511
561.3,-257.685
561.4,-257.859
561.5,-258.034
561.6,-258.208
561.7,-258.383
561.8,-258.558
561.9,-258.733
562,-258.908
562.1,-259.083
562.2,-259.258
562.3,-259.433
562.4,-259.609
562.5,-259.785
562.6,-259.96
562.7,-260.136
562.8,-260.312
562.9,-260.488
563,-260.664
563.1,-260.84
563.2,-261.017
563.3,-261.193
563.4,-261.37
563.5,-261.547
563.6,-261.724
563.7,-261.901
563.8,-262.078
563.9,-262.255
564,-262.432
564.1,-262.61
564.2,-262.787
564.3,-262.965
564.4,-263.143
564.5,-263.321
564.6,-263.499
564.7,-263.677
564.8,-263.855
564.9,-264.034
565,-264.212
565.1,-264.391
565.2,-264.57
565.3,-264.748
565.4,-264.927
