wavelength             alpha(7p1/2)         Uncertainty
1102.11000              -683.65               107.84
1102.12000              -684.18               107.89
1102.13000              -684.70               107.94
1102.14000              -685.23               107.99
1102.15000              -685.76               108.04
1102.16000              -686.29               108.10
1102.17000              -686.82               108.15
1102.18000              -687.35               108.20
1102.19000              -687.88               108.25
1102.20000              -688.42               108.31
1102.21000              -688.95               108.36
1102.22000              -689.48               108.41
1102.23000              -690.02               108.47
1102.24000              -690.55               108.52
1102.25000              -691.09               108.58
1102.26000              -691.62               108.63
1102.27000              -692.16               108.68
1102.28000              -692.70               108.74
1102.29000              -693.24               108.79
1102.30000              -693.78               108.85
1102.31000              -694.32               108.90
1102.32000              -694.86               108.96
1102.33000              -695.40               109.01
1102.34000              -695.94               109.07
1102.35000              -696.48               109.12
1102.36000              -697.03               109.18
1102.37000              -697.57               109.23
1102.38000              -698.12               109.29
1102.39000              -698.66               109.34
1102.40000              -699.21               109.40
1102.41000              -699.76               109.46
1102.42000              -700.31               109.51
1102.43000              -700.85               109.57
1102.44000              -701.40               109.63
1102.45000              -701.95               109.68
1102.46000              -702.51               109.74
1102.47000              -703.06               109.80
1102.48000              -703.61               109.86
1102.49000              -704.16               109.91
1102.50000              -704.72               109.97
1102.51000              -705.27               110.03
1102.52000              -705.83               110.09
1102.53000              -706.38               110.14
1102.54000              -706.94               110.20
1102.55000              -707.50               110.26
1102.56000              -708.06               110.32
1102.57000              -708.62               110.38
1102.58000              -709.18               110.44
1102.59000              -709.74               110.50
1102.60000              -710.30               110.56
1102.61000              -710.87               110.62
1102.62000              -711.43               110.68
1102.63000              -711.99               110.74
1102.64000              -712.56               110.80
1102.65000              -713.12               110.86
1102.66000              -713.69               110.92
1102.67000              -714.26               110.98
1102.68000              -714.83               111.04
1102.69000              -715.40               111.10
1102.70000              -715.97               111.16
1102.71000              -716.54               111.22
1102.72000              -717.11               111.28
1102.73000              -717.68               111.34
1102.74000              -718.26               111.41
1102.75000              -718.83               111.47
1102.76000              -719.41               111.53
1102.77000              -719.98               111.59
1102.78000              -720.56               111.65
1102.79000              -721.14               111.72
1102.80000              -721.72               111.78
1102.81000              -722.30               111.84
1102.82000              -722.88               111.91
1102.83000              -723.46               111.97
1102.84000              -724.04               112.03
1102.85000              -724.62               112.10
1102.86000              -725.21               112.16
1102.87000              -725.79               112.23
1102.88000              -726.38               112.29
1102.89000              -726.96               112.35
1102.90000              -727.55               112.42
1102.91000              -728.14               112.48
1102.92000              -728.73               112.55
1102.93000              -729.32               112.61
1102.94000              -729.91               112.68
1102.95000              -730.50               112.74
1102.96000              -731.09               112.81
1102.97000              -731.69               112.88
1102.98000              -732.28               112.94
1102.99000              -732.88               113.01
1103.00000              -733.48               113.08
1103.01000              -734.07               113.14
1103.02000              -734.67               113.21
1103.03000              -735.27               113.28
1103.04000              -735.87               113.34
1103.05000              -736.47               113.41
1103.06000              -737.08               113.48
1103.07000              -737.68               113.55
1103.08000              -738.28               113.62
1103.09000              -738.89               113.68
1103.10000              -739.49               113.75
1103.11000              -740.10               113.82
1103.12000              -740.71               113.89
1103.13000              -741.32               113.96
1103.14000              -741.93               114.03
1103.15000              -742.54               114.10
1103.16000              -743.15               114.17
1103.17000              -743.76               114.24
1103.18000              -744.38               114.31
1103.19000              -744.99               114.38
1103.20000              -745.61               114.45
1103.21000              -746.23               114.52
1103.22000              -746.84               114.59
1103.23000              -747.46               114.66
1103.24000              -748.08               114.73
1103.25000              -748.71               114.80
1103.26000              -749.33               114.88
1103.27000              -749.95               114.95
1103.28000              -750.57               115.02
1103.29000              -751.20               115.09
1103.30000              -751.83               115.16
1103.31000              -752.45               115.24
1103.32000              -753.08               115.31
1103.33000              -753.71               115.38
1103.34000              -754.34               115.46
1103.35000              -754.97               115.53
1103.36000              -755.61               115.60
1103.37000              -756.24               115.68
1103.38000              -756.87               115.75
1103.39000              -757.51               115.83
1103.40000              -758.15               115.90
1103.41000              -758.79               115.98
1103.42000              -759.42               116.05
1103.43000              -760.06               116.13
1103.44000              -760.71               116.20
1103.45000              -761.35               116.28
1103.46000              -761.99               116.36
1103.47000              -762.64               116.43
1103.48000              -763.28               116.51
1103.49000              -763.93               116.59
1103.50000              -764.58               116.66
1103.51000              -765.23               116.74
1103.52000              -765.88               116.82
1103.53000              -766.53               116.89
1103.54000              -767.18               116.97
1103.55000              -767.83               117.05
1103.56000              -768.49               117.13
1103.57000              -769.15               117.21
1103.58000              -769.80               117.29
1103.59000              -770.46               117.37
1103.60000              -771.12               117.44
1103.61000              -771.78               117.52
1103.62000              -772.44               117.60
1103.63000              -773.11               117.68
1103.64000              -773.77               117.76
1103.65000              -774.44               117.84
1103.66000              -775.10               117.93
1103.67000              -775.77               118.01
1103.68000              -776.44               118.09
1103.69000              -777.11               118.17
1103.70000              -777.78               118.25
1103.71000              -778.45               118.33
1103.72000              -779.13               118.42
1103.73000              -779.80               118.50
1103.74000              -780.48               118.58
1103.75000              -781.16               118.66
1103.76000              -781.84               118.75
1103.77000              -782.52               118.83
1103.78000              -783.20               118.91
1103.79000              -783.88               119.00
1103.80000              -784.56               119.08
1103.81000              -785.25               119.17
1103.82000              -785.94               119.25
1103.83000              -786.62               119.34
1103.84000              -787.31               119.42
1103.85000              -788.00               119.51
1103.86000              -788.69               119.59
1103.87000              -789.39               119.68
1103.88000              -790.08               119.77
1103.89000              -790.78               119.85
1103.90000              -791.47               119.94
1103.91000              -792.17               120.03
1103.92000              -792.87               120.11
1103.93000              -793.57               120.20
1103.94000              -794.27               120.29
1103.95000              -794.98               120.38
1103.96000              -795.68               120.46
1103.97000              -796.39               120.55
1103.98000              -797.10               120.64
1103.99000              -797.80               120.73
1104.00000              -798.52               120.82
1104.01000              -799.23               120.91
1104.02000              -799.94               121.00
1104.03000              -800.65               121.09
1104.04000              -801.37               121.18
1104.05000              -802.09               121.27
1104.06000              -802.81               121.36
1104.07000              -803.53               121.46
1104.08000              -804.25               121.55
1104.09000              -804.97               121.64
1104.10000              -805.69               121.73
1104.11000              -806.42               121.82
1104.12000              -807.15               121.92
1104.13000              -807.88               122.01
1104.14000              -808.61               122.10
1104.15000              -809.34               122.20
1104.16000              -810.07               122.29
1104.17000              -810.81               122.39
1104.18000              -811.54               122.48
1104.19000              -812.28               122.58
1104.20000              -813.02               122.67
1104.21000              -813.76               122.77
1104.22000              -814.50               122.86
1104.23000              -815.24               122.96
1104.24000              -815.99               123.05
1104.25000              -816.73               123.15
1104.26000              -817.48               123.25
1104.27000              -818.23               123.35
1104.28000              -818.98               123.44
1104.29000              -819.73               123.54
1104.30000              -820.49               123.64
