wavelength             alpha(7p1/2)         Uncertainty
1170.64000              -889.51                88.29
1170.65000              -892.70                88.29
1170.66000              -895.94                88.30
1170.67000              -899.22                88.30
1170.68000              -902.55                88.30
1170.69000              -905.92                88.31
1170.70000              -909.34                88.31
1170.71000              -912.80                88.31
1170.72000              -916.31                88.32
1170.73000              -919.87                88.32
1170.74000              -923.49                88.32
1170.75000              -927.15                88.33
1170.76000              -930.87                88.33
1170.77000              -934.64                88.34
1170.78000              -938.47                88.34
1170.79000              -942.35                88.35
1170.80000              -946.30                88.35
1170.81000              -950.30                88.36
1170.82000              -954.36                88.36
1170.83000              -958.49                88.37
1170.84000              -962.68                88.37
1170.85000              -966.94                88.38
1170.86000              -971.27                88.38
1170.87000              -975.66                88.39
1170.88000              -980.13                88.39
1170.89000              -984.67                88.40
1170.90000              -989.29                88.41
1170.91000              -993.98                88.41
1170.92000              -998.75                88.42
1170.93000             -1003.61                88.43
1170.94000             -1008.55                88.43
1170.95000             -1013.57                88.44
1170.96000             -1018.69                88.45
1170.97000             -1023.89                88.46
1170.98000             -1029.19                88.46
1170.99000             -1034.59                88.47
1171.00000             -1040.08                88.48
1171.01000             -1045.68                88.49
1171.02000             -1051.38                88.50
1171.03000             -1057.20                88.51
1171.04000             -1063.12                88.52
1171.05000             -1069.16                88.53
1171.06000             -1075.32                88.54
1171.07000             -1081.60                88.55
1171.08000             -1088.01                88.56
1171.09000             -1094.55                88.57
1171.10000             -1101.23                88.58
1171.11000             -1108.05                88.59
1171.12000             -1115.01                88.61
1171.13000             -1122.12                88.62
1171.14000             -1129.38                88.63
1171.15000             -1136.81                88.64
1171.16000             -1144.39                88.66
1171.17000             -1152.16                88.67
1171.18000             -1160.09                88.69
1171.19000             -1168.22                88.70
1171.20000             -1176.53                88.72
1171.21000             -1185.04                88.74
1171.22000             -1193.75                88.75
1171.23000             -1202.68                88.77
1171.24000             -1211.83                88.79
1171.25000             -1221.21                88.81
1171.26000             -1230.83                88.83
1171.27000             -1240.69                88.85
1171.28000             -1250.82                88.87
1171.29000             -1261.21                88.89
1171.30000             -1271.88                88.92
1171.31000             -1282.85                88.94
1171.32000             -1294.12                88.96
1171.33000             -1305.71                88.99
1171.34000             -1317.63                89.02
1171.35000             -1329.90                89.05
1171.36000             -1342.53                89.08
1171.37000             -1355.54                89.11
1171.38000             -1368.95                89.14
1171.39000             -1382.78                89.17
1171.40000             -1397.04                89.21
1171.41000             -1411.76                89.25
1171.42000             -1426.96                89.29
1171.43000             -1442.67                89.33
1171.44000             -1458.91                89.37
1171.45000             -1475.71                89.41
1171.46000             -1493.10                89.46
1171.47000             -1511.12                89.51
1171.48000             -1529.79                89.57
1171.49000             -1549.16                89.62
1171.50000             -1569.26                89.68
1171.51000             -1590.14                89.74
1171.52000             -1611.85                89.81
1171.53000             -1634.44                89.88
1171.54000             -1657.95                89.95
1171.55000             -1682.46                90.03
1171.56000             -1708.03                90.11
1171.57000             -1734.72                90.20
1171.58000             -1762.62                90.30
1171.59000             -1791.81                90.40
1171.60000             -1822.38                90.51
1171.61000             -1854.43                90.62
1171.62000             -1888.08                90.75
1171.63000             -1923.45                90.88
1171.64000             -1960.68                91.03
1171.65000             -1999.91                91.19
1171.66000             -2041.32                91.36
1171.67000             -2085.10                91.54
1171.68000             -2131.45                91.74
1171.69000             -2180.61                91.96
1171.70000             -2232.85                92.19
1171.71000             -2288.46                92.45
1171.72000             -2347.80                92.74
1171.73000             -2411.23                93.06
1171.74000             -2479.22                93.40
1171.75000             -2552.27                93.79
1171.76000             -2630.97                94.22
1171.77000             -2716.00                94.70
1171.78000             -2808.17                95.24
1171.79000             -2908.42                95.85
1171.80000             -3017.86                96.54
1171.81000             -3137.83                97.32
1171.82000             -3269.92                98.22
1171.83000             -3416.07                99.26
1171.84000             -3578.67               100.46
1171.85000             -3760.67               101.86
1171.86000             -3965.75               103.52
1171.87000             -4198.63               105.49
1171.88000             -4465.37               107.86
1171.89000             -4773.96               110.73
1171.90000             -5135.09               114.26
1171.91000             -5563.46               118.68
1171.92000             -6079.78               124.28
1171.93000             -6714.28               131.52
1171.94000             -7512.81               141.13
1171.95000             -8548.45               154.23
1171.96000             -9945.31               172.79
1171.97000            -11932.38               200.42
1171.98000            -14984.07               244.62
1171.99000            -20269.36               323.90
1172.00000            -31656.52               499.42
1172.01000            -74145.51              1166.22
1172.02000            200714.28              3181.15
1172.03000             41962.90               677.44
1172.04000             23217.65               385.73
1172.05000             15944.98               275.14
1172.06000             12080.32               218.20
1172.07000              9682.81               184.21
1172.08000              8050.21               162.05
1172.09000              6866.78               146.74
1172.10000              5969.54               135.69
1172.11000              5265.85               127.46
1172.12000              4699.15               121.17
1172.13000              4232.98               116.26
1172.14000              3842.75               112.36
1172.15000              3511.29               109.21
1172.16000              3226.24               106.63
1172.17000              2978.48               104.50
1172.18000              2761.13               102.71
1172.19000              2568.92               101.20
1172.20000              2397.71                99.92
1172.21000              2244.24                98.82
1172.22000              2105.87                97.86
1172.23000              1980.49                97.03
1172.24000              1866.33                96.31
1172.25000              1761.95                95.67
1172.26000              1666.14                95.11
1172.27000              1577.89                94.61
1172.28000              1496.33                94.17
1172.29000              1420.72                93.77
1172.30000              1350.44                93.41
1172.31000              1284.93                93.09
1172.32000              1223.73                92.79
1172.33000              1166.42                92.53
1172.34000              1112.64                92.29
1172.35000              1062.07                92.07
1172.36000              1014.43                91.87
1172.37000               969.47                91.69
1172.38000               926.97                91.52
1172.39000               886.73                91.36
1172.40000               848.57                91.22
1172.41000               812.34                91.09
1172.42000               777.89                90.96
1172.43000               745.09                90.85
1172.44000               713.82                90.75
1172.45000               683.99                90.65
1172.46000               655.48                90.56
1172.47000               628.21                90.47
1172.48000               602.11                90.39
1172.49000               577.10                90.32
1172.50000               553.11                90.25
1172.51000               530.07                90.19
1172.52000               507.94                90.13
1172.53000               486.66                90.07
1172.54000               466.18                90.02
1172.55000               446.45                89.97
1172.56000               427.43                89.92
1172.57000               409.09                89.88
1172.58000               391.39                89.83
1172.59000               374.29                89.79
1172.60000               357.76                89.76
1172.61000               341.78                89.72
1172.62000               326.32                89.69
1172.63000               311.35                89.66
1172.64000               296.85                89.63
1172.65000               282.80                89.60
1172.66000               269.17                89.58
1172.67000               255.94                89.55
1172.68000               243.11                89.53
1172.69000               230.64                89.51
1172.70000               218.53                89.49
1172.71000               206.76                89.47
1172.72000               195.31                89.45
1172.73000               184.17                89.43
1172.74000               173.33                89.42
1172.75000               162.77                89.40
1172.76000               152.49                89.39
1172.77000               142.47                89.37
1172.78000               132.70                89.36
1172.79000               123.18                89.35
1172.80000               113.89                89.34
1172.81000               104.82                89.33
1172.82000                95.97                89.32
1172.83000                87.33                89.31
1172.84000                78.89                89.30
1172.85000                70.64                89.29
1172.86000                62.58                89.28
1172.87000                54.69                89.27
1172.88000                46.99                89.27
1172.89000                39.45                89.26
1172.90000                32.07                89.25
1172.91000                24.84                89.25
1172.92000                17.77                89.24
1172.93000                10.85                89.24
1172.94000                 4.06                89.23
1172.95000                -2.58                89.23
1172.96000                -9.10                89.23
1172.97000               -15.48                89.22
1172.98000               -21.74                89.22
1172.99000               -27.88                89.22
1173.00000               -33.91                89.22
1173.01000               -39.82                89.21
1173.02000               -45.62                89.21
1173.03000               -51.31                89.21
1173.04000               -56.90                89.21
1173.05000               -62.39                89.21
1173.06000               -67.79                89.21
1173.07000               -73.08                89.21
1173.08000               -78.29                89.21
1173.09000               -83.41                89.21
1173.10000               -88.43                89.21
1173.11000               -93.38                89.21
1173.12000               -98.24                89.21
1173.13000              -103.02                89.21
1173.14000              -107.73                89.21
1173.15000              -112.36                89.21
1173.16000              -116.91                89.21
1173.17000              -121.39                89.22
1173.18000              -125.81                89.22
1173.19000              -130.15                89.22
1173.20000              -134.43                89.22
1173.21000              -138.64                89.22
1173.22000              -142.79                89.23
1173.23000              -146.88                89.23
1173.24000              -150.91                89.23
1173.25000              -154.88                89.24
1173.26000              -158.79                89.24
1173.27000              -162.65                89.24
1173.28000              -166.45                89.24
1173.29000              -170.20                89.25
1173.30000              -173.89                89.25
1173.31000              -177.54                89.26
1173.32000              -181.14                89.26
1173.33000              -184.69                89.26
1173.34000              -188.19                89.27
1173.35000              -191.64                89.27
1173.36000              -195.05                89.28
1173.37000              -198.42                89.28
1173.38000              -201.74                89.28
1173.39000              -205.02                89.29
1173.40000              -208.26                89.29
1173.41000              -211.45                89.30
1173.42000              -214.61                89.30
1173.43000              -217.73                89.31
1173.44000              -220.81                89.31
1173.45000              -223.86                89.32
1173.46000              -226.87                89.32
1173.47000              -229.84                89.33
1173.48000              -232.78                89.34
1173.49000              -235.68                89.34
1173.50000              -238.55                89.35
1173.51000              -241.39                89.35
1173.52000              -244.20                89.36
1173.53000              -246.97                89.36
1173.54000              -249.72                89.37
1173.55000              -252.43                89.38
1173.56000              -255.11                89.38
1173.57000              -257.77                89.39
1173.58000              -260.40                89.40
1173.59000              -262.99                89.40
1173.60000              -265.57                89.41
1173.61000              -268.11                89.41
1173.62000              -270.63                89.42
1173.63000              -273.12                89.43
1173.64000              -275.59                89.43
1173.65000              -278.03                89.44
1173.66000              -280.45                89.45
1173.67000              -282.84                89.46
1173.68000              -285.21                89.46
1173.69000              -287.56                89.47
1173.70000              -289.89                89.48
1173.71000              -292.19                89.48
1173.72000              -294.47                89.49
1173.73000              -296.73                89.50
1173.74000              -298.97                89.51
1173.75000              -301.19                89.51
1173.76000              -303.38                89.52
1173.77000              -305.56                89.53
1173.78000              -307.72                89.54
1173.79000              -309.86                89.54
1173.80000              -311.98                89.55
1173.81000              -314.08                89.56
1173.82000              -316.16                89.57
1173.83000              -318.22                89.58
1173.84000              -320.27                89.58
1173.85000              -322.30                89.59
1173.86000              -324.31                89.60
1173.87000              -326.31                89.61
1173.88000              -328.29                89.62
1173.89000              -330.25                89.63
1173.90000              -332.20                89.63
1173.91000              -334.13                89.64
1173.92000              -336.04                89.65
1173.93000              -337.94                89.66
1173.94000              -339.83                89.67
1173.95000              -341.70                89.68
1173.96000              -343.56                89.69
1173.97000              -345.40                89.70
1173.98000              -347.23                89.70
1173.99000              -349.04                89.71
1174.00000              -350.84                89.72
1174.01000              -352.63                89.73
1174.02000              -354.40                89.74
1174.03000              -356.16                89.75
1174.04000              -357.91                89.76
1174.05000              -359.64                89.77
1174.06000              -361.37                89.78
1174.07000              -363.08                89.79
1174.08000              -364.78                89.80
1174.09000              -366.46                89.81
1174.10000              -368.14                89.82
1174.11000              -369.80                89.83
1174.12000              -371.45                89.84
1174.13000              -373.09                89.84
1174.14000              -374.73                89.85
1174.15000              -376.34                89.86
1174.16000              -377.95                89.87
1174.17000              -379.55                89.88
1174.18000              -381.14                89.89
1174.19000              -382.72                89.90
1174.20000              -384.28                89.91
1174.21000              -385.84                89.92
1174.22000              -387.39                89.93
1174.23000              -388.93                89.95
1174.24000              -390.46                89.96
1174.25000              -391.98                89.97
1174.26000              -393.49                89.98
1174.27000              -394.99                89.99
1174.28000              -396.48                90.00
1174.29000              -397.96                90.01
1174.30000              -399.44                90.02
1174.31000              -400.90                90.03
1174.32000              -402.36                90.04
1174.33000              -403.81                90.05
1174.34000              -405.25                90.06
1174.35000              -406.68                90.07
1174.36000              -408.11                90.08
1174.37000              -409.53                90.09
1174.38000              -410.93                90.11
1174.39000              -412.34                90.12
1174.40000              -413.73                90.13
1174.41000              -415.12                90.14
1174.42000              -416.49                90.15
1174.43000              -417.87                90.16
1174.44000              -419.23                90.17
1174.45000              -420.59                90.18
1174.46000              -421.94                90.20
1174.47000              -423.28                90.21
1174.48000              -424.62                90.22
1174.49000              -425.95                90.23
1174.50000              -427.27                90.24
1174.51000              -428.59                90.25
1174.52000              -429.90                90.27
1174.53000              -431.20                90.28
1174.54000              -432.50                90.29
1174.55000              -433.79                90.30
1174.56000              -435.08                90.31
1174.57000              -436.35                90.33
1174.58000              -437.63                90.34
1174.59000              -438.89                90.35
1174.60000              -440.16                90.36
1174.61000              -441.41                90.37
1174.62000              -442.66                90.39
1174.63000              -443.91                90.40
1174.64000              -445.14                90.41
1174.65000              -446.38                90.42
1174.66000              -447.61                90.44
1174.67000              -448.83                90.45
1174.68000              -450.05                90.46
1174.69000              -451.26                90.47
1174.70000              -452.47                90.49
1174.71000              -453.67                90.50
1174.72000              -454.87                90.51
1174.73000              -456.06                90.53
1174.74000              -457.24                90.54
1174.75000              -458.43                90.55
1174.76000              -459.60                90.56
1174.77000              -460.78                90.58
1174.78000              -461.95                90.59
1174.79000              -463.11                90.60
1174.80000              -464.27                90.62
1174.81000              -465.42                90.63
1174.82000              -466.57                90.64
1174.83000              -467.72                90.66
1174.84000              -468.86                90.67
1174.85000              -470.00                90.68
1174.86000              -471.13                90.70
1174.87000              -472.26                90.71
1174.88000              -473.39                90.72
1174.89000              -474.51                90.74
1174.90000              -475.63                90.75
1174.91000              -476.74                90.77
1174.92000              -477.85                90.78
1174.93000              -478.95                90.79
1174.94000              -480.06                90.81
1174.95000              -481.15                90.82
1174.96000              -482.25                90.84
1174.97000              -483.34                90.85
1174.98000              -484.42                90.86
1174.99000              -485.51                90.88
1175.00000              -486.59                90.89
1175.01000              -487.66                90.91
1175.02000              -488.74                90.92
1175.03000              -489.81                90.94
1175.04000              -490.87                90.95
1175.05000              -491.94                90.97
1175.06000              -492.99                90.98
1175.07000              -494.05                90.99
1175.08000              -495.10                91.01
1175.09000              -496.15                91.02
1175.10000              -497.20                91.04
1175.11000              -498.24                91.05
1175.12000              -499.28                91.07
1175.13000              -500.32                91.08
1175.14000              -501.36                91.10
1175.15000              -502.39                91.11
1175.16000              -503.42                91.13
1175.17000              -504.44                91.14
1175.18000              -505.47                91.16
1175.19000              -506.49                91.18
1175.20000              -507.50                91.19
1175.21000              -508.52                91.21
1175.22000              -509.53                91.22
1175.23000              -510.54                91.24
1175.24000              -511.55                91.25
1175.25000              -512.55                91.27
1175.26000              -513.55                91.28
1175.27000              -514.55                91.30
1175.28000              -515.55                91.32
1175.29000              -516.54                91.33
1175.30000              -517.53                91.35
1175.31000              -518.52                91.36
1175.32000              -519.51                91.38
1175.33000              -520.50                91.40
1175.34000              -521.48                91.41
1175.35000              -522.46                91.43
1175.36000              -523.43                91.45
1175.37000              -524.41                91.46
1175.38000              -525.38                91.48
1175.39000              -526.35                91.49
1175.40000              -527.32                91.51
1175.41000              -528.29                91.53
1175.42000              -529.25                91.54
1175.43000              -530.22                91.56
1175.44000              -531.18                91.58
1175.45000              -532.14                91.59
1175.46000              -533.09                91.61
1175.47000              -534.05                91.63
1175.48000              -535.00                91.65
1175.49000              -535.95                91.66
1175.50000              -536.90                91.68
1175.51000              -537.84                91.70
1175.52000              -538.79                91.71
1175.53000              -539.73                91.73
1175.54000              -540.67                91.75
1175.55000              -541.61                91.77
1175.56000              -542.55                91.78
1175.57000              -543.49                91.80
1175.58000              -544.42                91.82
1175.59000              -545.35                91.84
1175.60000              -546.28                91.86
1175.61000              -547.21                91.87
1175.62000              -548.14                91.89
1175.63000              -549.07                91.91
1175.64000              -549.99                91.93
1175.65000              -550.91                91.95
1175.66000              -551.84                91.96
1175.67000              -552.75                91.98
1175.68000              -553.67                92.00
1175.69000              -554.59                92.02
1175.70000              -555.51                92.04
1175.71000              -556.42                92.06
1175.72000              -557.33                92.07
1175.73000              -558.24                92.09
1175.74000              -559.15                92.11
1175.75000              -560.06                92.13
1175.76000              -560.97                92.15
1175.77000              -561.87                92.17
1175.78000              -562.78                92.19
1175.79000              -563.68                92.21
1175.80000              -564.58                92.22
1175.81000              -565.48                92.24
1175.82000              -566.38                92.26
1175.83000              -567.28                92.28
1175.84000              -568.18                92.30
1175.85000              -569.07                92.32
1175.86000              -569.97                92.34
1175.87000              -570.86                92.36
1175.88000              -571.75                92.38
1175.89000              -572.64                92.40
1175.90000              -573.53                92.42
1175.91000              -574.42                92.44
1175.92000              -575.31                92.46
1175.93000              -576.20                92.48
1175.94000              -577.08                92.50
1175.95000              -577.97                92.52
1175.96000              -578.85                92.54
1175.97000              -579.73                92.56
1175.98000              -580.62                92.58
1175.99000              -581.50                92.60
1176.00000              -582.38                92.62
1176.01000              -583.25                92.64
1176.02000              -584.13                92.66
1176.03000              -585.01                92.68
1176.04000              -585.89                92.70
1176.05000              -586.76                92.72
1176.06000              -587.64                92.74
1176.07000              -588.51                92.77
1176.08000              -589.38                92.79
1176.09000              -590.26                92.81
1176.10000              -591.13                92.83
1176.11000              -592.00                92.85
1176.12000              -592.87                92.87
1176.13000              -593.74                92.89
1176.14000              -594.60                92.91
1176.15000              -595.47                92.94
1176.16000              -596.34                92.96
1176.17000              -597.21                92.98
1176.18000              -598.07                93.00
1176.19000              -598.94                93.02
1176.20000              -599.80                93.04
1176.21000              -600.66                93.07
1176.22000              -601.53                93.09
1176.23000              -602.39                93.11
1176.24000              -603.25                93.13
1176.25000              -604.11                93.16
1176.26000              -604.97                93.18
1176.27000              -605.83                93.20
1176.28000              -606.69                93.22
1176.29000              -607.55                93.25
1176.30000              -608.41                93.27
1176.31000              -609.27                93.29
1176.32000              -610.13                93.31
1176.33000              -610.98                93.34
1176.34000              -611.84                93.36
1176.35000              -612.70                93.38
1176.36000              -613.55                93.41
1176.37000              -614.41                93.43
1176.38000              -615.26                93.45
1176.39000              -616.12                93.48
1176.40000              -616.97                93.50
1176.41000              -617.82                93.52
1176.42000              -618.68                93.55
1176.43000              -619.53                93.57
1176.44000              -620.38                93.59
1176.45000              -621.23                93.62
1176.46000              -622.09                93.64
1176.47000              -622.94                93.66
1176.48000              -623.79                93.69
1176.49000              -624.64                93.71
1176.50000              -625.49                93.74
1176.51000              -626.34                93.76
1176.52000              -627.19                93.79
1176.53000              -628.04                93.81
1176.54000              -628.89                93.84
1176.55000              -629.74                93.86
1176.56000              -630.59                93.88
1176.57000              -631.44                93.91
1176.58000              -632.29                93.93
1176.59000              -633.13                93.96
1176.60000              -633.98                93.98
1176.61000              -634.83                94.01
1176.62000              -635.68                94.03
1176.63000              -636.53                94.06
1176.64000              -637.38                94.09
1176.65000              -638.22                94.11
1176.66000              -639.07                94.14
1176.67000              -639.92                94.16
1176.68000              -640.77                94.19
1176.69000              -641.61                94.21
1176.70000              -642.46                94.24
1176.71000              -643.31                94.27
1176.72000              -644.15                94.29
1176.73000              -645.00                94.32
1176.74000              -645.85                94.34
1176.75000              -646.70                94.37
1176.76000              -647.54                94.40
1176.77000              -648.39                94.42
1176.78000              -649.24                94.45
1176.79000              -650.08                94.48
1176.80000              -650.93                94.50
1176.81000              -651.78                94.53
1176.82000              -652.63                94.56
1176.83000              -653.47                94.59
1176.84000              -654.32                94.61
1176.85000              -655.17                94.64
1176.86000              -656.02                94.67
1176.87000              -656.86                94.69
1176.88000              -657.71                94.72
1176.89000              -658.56                94.75
1176.90000              -659.41                94.78
1176.91000              -660.25                94.81
1176.92000              -661.10                94.83
1176.93000              -661.95                94.86
1176.94000              -662.80                94.89
1176.95000              -663.65                94.92
1176.96000              -664.50                94.95
1176.97000              -665.35                94.98
1176.98000              -666.20                95.00
1176.99000              -667.04                95.03
1177.00000              -667.89                95.06
1177.01000              -668.74                95.09
1177.02000              -669.59                95.12
1177.03000              -670.44                95.15
1177.04000              -671.30                95.18
1177.05000              -672.15                95.21
1177.06000              -673.00                95.24
1177.07000              -673.85                95.26
1177.08000              -674.70                95.29
1177.09000              -675.55                95.32
1177.10000              -676.40                95.35
1177.11000              -677.26                95.38
1177.12000              -678.11                95.41
1177.13000              -678.96                95.44
1177.14000              -679.82                95.47
1177.15000              -680.67                95.50
1177.16000              -681.53                95.53
1177.17000              -682.38                95.56
1177.18000              -683.24                95.60
1177.19000              -684.09                95.63
1177.20000              -684.95                95.66
1177.21000              -685.80                95.69
1177.22000              -686.66                95.72
1177.23000              -687.52                95.75
1177.24000              -688.37                95.78
1177.25000              -689.23                95.81
1177.26000              -690.09                95.84
1177.27000              -690.95                95.88
1177.28000              -691.81                95.91
1177.29000              -692.67                95.94
1177.30000              -693.53                95.97
1177.31000              -694.39                96.00
1177.32000              -695.25                96.03
1177.33000              -696.11                96.07
1177.34000              -696.97                96.10
1177.35000              -697.84                96.13
1177.36000              -698.70                96.16
1177.37000              -699.56                96.20
1177.38000              -700.43                96.23
1177.39000              -701.29                96.26
1177.40000              -702.16                96.29
1177.41000              -703.03                96.33
1177.42000              -703.89                96.36
1177.43000              -704.76                96.39
1177.44000              -705.63                96.43
1177.45000              -706.50                96.46
1177.46000              -707.36                96.50
1177.47000              -708.23                96.53
1177.48000              -709.10                96.56
1177.49000              -709.98                96.60
1177.50000              -710.85                96.63
1177.51000              -711.72                96.67
1177.52000              -712.59                96.70
1177.53000              -713.47                96.73
1177.54000              -714.34                96.77
1177.55000              -715.22                96.80
1177.56000              -716.09                96.84
1177.57000              -716.97                96.87
1177.58000              -717.84                96.91
1177.59000              -718.72                96.94
1177.60000              -719.60                96.98
1177.61000              -720.48                97.01
1177.62000              -721.36                97.05
1177.63000              -722.24                97.09
1177.64000              -723.12                97.12
1177.65000              -724.00                97.16
1177.66000              -724.89                97.19
1177.67000              -725.77                97.23
1177.68000              -726.66                97.27
1177.69000              -727.54                97.30
1177.70000              -728.43                97.34
1177.71000              -729.31                97.38
1177.72000              -730.20                97.41
1177.73000              -731.09                97.45
1177.74000              -731.98                97.49
1177.75000              -732.87                97.52
1177.76000              -733.76                97.56
1177.77000              -734.65                97.60
1177.78000              -735.55                97.64
1177.79000              -736.44                97.67
1177.80000              -737.34                97.71
1177.81000              -738.23                97.75
1177.82000              -739.13                97.79
1177.83000              -740.03                97.83
1177.84000              -740.93                97.86
1177.85000              -741.82                97.90
1177.86000              -742.72                97.94
1177.87000              -743.63                97.98
1177.88000              -744.53                98.02
1177.89000              -745.43                98.06
1177.90000              -746.34                98.10
1177.91000              -747.24                98.14
1177.92000              -748.15                98.18
1177.93000              -749.05                98.22
1177.94000              -749.96                98.26
1177.95000              -750.87                98.30
1177.96000              -751.78                98.34
1177.97000              -752.69                98.38
1177.98000              -753.61                98.42
1177.99000              -754.52                98.46
1178.00000              -755.43                98.50
1178.01000              -756.35                98.54
1178.02000              -757.27                98.58
1178.03000              -758.18                98.62
1178.04000              -759.10                98.66
1178.05000              -760.02                98.70
1178.06000              -760.94                98.75
1178.07000              -761.87                98.79
1178.08000              -762.79                98.83
1178.09000              -763.71                98.87
1178.10000              -764.64                98.91
1178.11000              -765.57                98.96
1178.12000              -766.49                99.00
1178.13000              -767.42                99.04
1178.14000              -768.35                99.08
1178.15000              -769.29                99.13
1178.16000              -770.22                99.17
1178.17000              -771.15                99.21
1178.18000              -772.09                99.26
1178.19000              -773.02                99.30
1178.20000              -773.96                99.34
1178.21000              -774.90                99.39
1178.22000              -775.84                99.43
1178.23000              -776.78                99.47
1178.24000              -777.72                99.52
1178.25000              -778.67                99.56
1178.26000              -779.61                99.61
1178.27000              -780.56                99.65
1178.28000              -781.51                99.70
1178.29000              -782.46                99.74
1178.30000              -783.41                99.79
1178.31000              -784.36                99.83
1178.32000              -785.31                99.88
1178.33000              -786.27                99.93
1178.34000              -787.22                99.97
1178.35000              -788.18               100.02
1178.36000              -789.14               100.06
1178.37000              -790.10               100.11
1178.38000              -791.06               100.16
1178.39000              -792.02               100.20
1178.40000              -792.99               100.25
1178.41000              -793.95               100.30
1178.42000              -794.92               100.34
1178.43000              -795.89               100.39
1178.44000              -796.86               100.44
1178.45000              -797.83               100.49
1178.46000              -798.80               100.54
1178.47000              -799.78               100.58
1178.48000              -800.75               100.63
1178.49000              -801.73               100.68
1178.50000              -802.71               100.73
1178.51000              -803.69               100.78
1178.52000              -804.67               100.83
1178.53000              -805.66               100.88
1178.54000              -806.64               100.93
1178.55000              -807.63               100.98
1178.56000              -808.62               101.03
1178.57000              -809.61               101.08
1178.58000              -810.60               101.13
1178.59000              -811.59               101.18
1178.60000              -812.59               101.23
1178.61000              -813.58               101.28
1178.62000              -814.58               101.33
1178.63000              -815.58               101.38
1178.64000              -816.58               101.43
1178.65000              -817.58               101.48
1178.66000              -818.59               101.53
1178.67000              -819.59               101.59
1178.68000              -820.60               101.64
1178.69000              -821.61               101.69
1178.70000              -822.62               101.74
1178.71000              -823.64               101.80
1178.72000              -824.65               101.85
1178.73000              -825.67               101.90
1178.74000              -826.69               101.95
1178.75000              -827.71               102.01
1178.76000              -828.73               102.06
1178.77000              -829.75               102.12
1178.78000              -830.78               102.17
1178.79000              -831.80               102.22
1178.80000              -832.83               102.28
1178.81000              -833.86               102.33
1178.82000              -834.90               102.39
1178.83000              -835.93               102.44
1178.84000              -836.97               102.50
1178.85000              -838.01               102.55
1178.86000              -839.05               102.61
1178.87000              -840.09               102.67
1178.88000              -841.13               102.72
1178.89000              -842.18               102.78
1178.90000              -843.23               102.83
1178.91000              -844.27               102.89
1178.92000              -845.33               102.95
1178.93000              -846.38               103.01
1178.94000              -847.44               103.06
1178.95000              -848.49               103.12
1178.96000              -849.55               103.18
1178.97000              -850.61               103.24
