wavelength,polarizability,Uncertainty
1102.28,-692.7,108.74
1102.29,-693.24,108.79
1102.3,-693.78,108.85
1102.31,-694.32,108.9
1102.32,-694.86,108.96
1102.33,-695.4,109.01
1102.34,-695.94,109.07
1102.35,-696.48,109.12
1102.36,-697.03,109.18
1102.37,-697.57,109.23
1102.38,-698.12,109.29
1102.39,-698.66,109.34
1102.4,-699.21,109.4
1102.41,-699.76,109.46
1102.42,-700.31,109.51
1102.43,-700.85,109.57
1102.44,-701.4,109.63
1102.45,-701.95,109.68
1102.46,-702.51,109.74
1102.47,-703.06,109.8
1102.48,-703.61,109.86
1102.49,-704.16,109.91
1102.5,-704.72,109.97
1102.51,-705.27,110.03
1102.52,-705.83,110.09
1102.53,-706.38,110.14
1102.54,-706.94,110.2
1102.55,-707.5,110.26
1102.56,-708.06,110.32
1102.57,-708.62,110.38
1102.58,-709.18,110.44
1102.59,-709.74,110.5
1102.6,-710.3,110.56
1102.61,-710.87,110.62
1102.62,-711.43,110.68
1102.63,-711.99,110.74
1102.64,-712.56,110.8
1102.65,-713.12,110.86
1102.66,-713.69,110.92
1102.67,-714.26,110.98
1102.68,-714.83,111.04
1102.69,-715.4,111.1
1102.7,-715.97,111.16
1102.71,-716.54,111.22
1102.72,-717.11,111.28
1102.73,-717.68,111.34
1102.74,-718.26,111.41
1102.75,-718.83,111.47
1102.76,-719.41,111.53
1102.77,-719.98,111.59
1102.78,-720.56,111.65
1102.79,-721.14,111.72
1102.8,-721.72,111.78
1102.81,-722.3,111.84
1102.82,-722.88,111.91
1102.83,-723.46,111.97
1102.84,-724.04,112.03
1102.85,-724.62,112.1
1102.86,-725.21,112.16
1102.87,-725.79,112.23
1102.88,-726.38,112.29
1102.89,-726.96,112.35
1102.9,-727.55,112.42
1102.91,-728.14,112.48
1102.92,-728.73,112.55
1102.93,-729.32,112.61
1102.94,-729.91,112.68
1102.95,-730.5,112.74
1102.96,-731.09,112.81
1102.97,-731.69,112.88
1102.98,-732.28,112.94
1102.99,-732.88,113.01
1103,-733.48,113.08
1103.01,-734.07,113.14
1103.02,-734.67,113.21
1103.03,-735.27,113.28
1103.04,-735.87,113.34
1103.05,-736.47,113.41
1103.06,-737.08,113.48
1103.07,-737.68,113.55
1103.08,-738.28,113.62
1103.09,-738.89,113.68
1103.1,-739.49,113.75
1103.11,-740.1,113.82
1103.12,-740.71,113.89
1103.13,-741.32,113.96
1103.14,-741.93,114.03
1103.15,-742.54,114.1
1103.16,-743.15,114.17
1103.17,-743.76,114.24
1103.18,-744.38,114.31
1103.19,-744.99,114.38
1103.2,-745.61,114.45
1103.21,-746.23,114.52
1103.22,-746.84,114.59
1103.23,-747.46,114.66
1103.24,-748.08,114.73
1103.25,-748.71,114.8
1103.26,-749.33,114.88
1103.27,-749.95,114.95
1103.28,-750.57,115.02
1103.29,-751.2,115.09
1103.3,-751.83,115.16
1103.31,-752.45,115.24
1103.32,-753.08,115.31
1103.33,-753.71,115.38
1103.34,-754.34,115.46
1103.35,-754.97,115.53
1103.36,-755.61,115.6
1103.37,-756.24,115.68
1103.38,-756.87,115.75
1103.39,-757.51,115.83
1103.4,-758.15,115.9
1103.41,-758.79,115.98
1103.42,-759.42,116.05
1103.43,-760.06,116.13
1103.44,-760.71,116.2
1103.45,-761.35,116.28
1103.46,-761.99,116.36
1103.47,-762.64,116.43
1103.48,-763.28,116.51
1103.49,-763.93,116.59
1103.5,-764.58,116.66
1103.51,-765.23,116.74
1103.52,-765.88,116.82
1103.53,-766.53,116.89
1103.54,-767.18,116.97
1103.55,-767.83,117.05
1103.56,-768.49,117.13
1103.57,-769.15,117.21
1103.58,-769.8,117.29
1103.59,-770.46,117.37
1103.6,-771.12,117.44
1103.61,-771.78,117.52
1103.62,-772.44,117.6
1103.63,-773.11,117.68
1103.64,-773.77,117.76
1103.65,-774.44,117.84
1103.66,-775.1,117.93
1103.67,-775.77,118.01
1103.68,-776.44,118.09
1103.69,-777.11,118.17
1103.7,-777.78,118.25
1103.71,-778.45,118.33
1103.72,-779.13,118.42
1103.73,-779.8,118.5
1103.74,-780.48,118.58
1103.75,-781.16,118.66
1103.76,-781.84,118.75
1103.77,-782.52,118.83
1103.78,-783.2,118.91
1103.79,-783.88,119
1103.8,-784.56,119.08
1103.81,-785.25,119.17
1103.82,-785.94,119.25
1103.83,-786.62,119.34
1103.84,-787.31,119.42
1103.85,-788,119.51
1103.86,-788.69,119.59
1103.87,-789.39,119.68
1103.88,-790.08,119.77
1103.89,-790.78,119.85
1103.9,-791.47,119.94
1103.91,-792.17,120.03
1103.92,-792.87,120.11
1103.93,-793.57,120.2
1103.94,-794.27,120.29
1103.95,-794.98,120.38
1103.96,-795.68,120.46
1103.97,-796.39,120.55
1103.98,-797.1,120.64
1103.99,-797.8,120.73
1104,-798.52,120.82
1104.01,-799.23,120.91
1104.02,-799.94,121
1104.03,-800.65,121.09
1104.04,-801.37,121.18
1104.05,-802.09,121.27
1104.06,-802.81,121.36
1104.07,-803.53,121.46
1104.08,-804.25,121.55
1104.09,-804.97,121.64
1104.1,-805.69,121.73
1104.11,-806.42,121.82
1104.12,-807.15,121.92
1104.13,-807.88,122.01
1104.14,-808.61,122.1
1104.15,-809.34,122.2
1104.16,-810.07,122.29
1104.17,-810.81,122.39
1104.18,-811.54,122.48
1104.19,-812.28,122.58
1104.2,-813.02,122.67
1104.21,-813.76,122.77
1104.22,-814.5,122.86
1104.23,-815.24,122.96
1104.24,-815.99,123.05
1104.25,-816.73,123.15
1104.26,-817.48,123.25
1104.27,-818.23,123.35
1104.28,-818.98,123.44
1104.29,-819.73,123.54
1104.3,-820.49,123.64
1104.31,-821.24,123.74
1104.32,-822,123.84
1104.33,-822.76,123.94
1104.34,-823.52,124.04
1104.35,-824.28,124.14
1104.36,-825.05,124.24
1104.37,-825.81,124.34
1104.38,-826.58,124.44
1104.39,-827.35,124.54
1104.4,-828.12,124.64
1104.41,-828.89,124.74
1104.42,-829.66,124.84
1104.43,-830.43,124.94
1104.44,-831.21,125.05
1104.45,-831.99,125.15
1104.46,-832.77,125.25
1104.47,-833.55,125.36
1104.48,-834.33,125.46
1104.49,-835.12,125.57
1104.5,-835.9,125.67
1104.51,-836.69,125.78
1104.52,-837.48,125.88
1104.53,-838.27,125.99
1104.54,-839.06,126.09
1104.55,-839.86,126.2
1104.56,-840.66,126.31
1104.57,-841.45,126.41
1104.58,-842.25,126.52
1104.59,-843.06,126.63
1104.6,-843.86,126.74
1104.61,-844.66,126.84
1104.62,-845.47,126.95
1104.63,-846.28,127.06
1104.64,-847.09,127.17
1104.65,-847.9,127.28
1104.66,-848.72,127.39
1104.67,-849.53,127.5
1104.68,-850.35,127.61
1104.69,-851.17,127.72
1104.7,-851.99,127.84
1104.71,-852.81,127.95
1104.72,-853.64,128.06
1104.73,-854.47,128.17
1104.74,-855.29,128.29
1104.75,-856.12,128.4
1104.76,-856.96,128.51
1104.77,-857.79,128.63
1104.78,-858.63,128.74
1104.79,-859.47,128.86
1104.8,-860.31,128.97
1104.81,-861.15,129.09
1104.82,-861.99,129.2
1104.83,-862.84,129.32
1104.84,-863.68,129.44
1104.85,-864.53,129.55
1104.86,-865.39,129.67
1104.87,-866.24,129.79
1104.88,-867.09,129.91
1104.89,-867.95,130.03
1104.9,-868.81,130.15
1104.91,-869.67,130.27
1104.92,-870.54,130.39
1104.93,-871.4,130.51
1104.94,-872.27,130.63
1104.95,-873.14,130.75
1104.96,-874.01,130.87
1104.97,-874.88,130.99
1104.98,-875.76,131.11
1104.99,-876.64,131.24
1105,-877.52,131.36
1105.01,-878.4,131.48
1105.02,-879.28,131.61
1105.03,-880.17,131.73
1105.04,-881.06,131.86
1105.05,-881.95,131.98
1105.06,-882.84,132.11
1105.07,-883.73,132.23
1105.08,-884.63,132.36
1105.09,-885.53,132.49
1105.1,-886.43,132.61
1105.11,-887.33,132.74
1105.12,-888.24,132.87
1105.13,-889.14,133
1105.14,-890.05,133.13
1105.15,-890.97,133.26
1105.16,-891.88,133.39
1105.17,-892.8,133.52
1105.18,-893.71,133.65
1105.19,-894.63,133.78
1105.2,-895.56,133.91
1105.21,-896.48,134.04
1105.22,-897.41,134.18
1105.23,-898.34,134.31
1105.24,-899.27,134.44
1105.25,-900.21,134.58
1105.26,-901.14,134.71
1105.27,-902.08,134.85
1105.28,-903.02,134.98
1105.29,-903.97,135.12
1105.3,-904.92,135.25
1105.31,-905.86,135.39
1105.32,-906.81,135.53
1105.33,-907.77,135.67
1105.34,-908.72,135.8
1105.35,-909.68,135.94
1105.36,-910.64,136.08
1105.37,-911.61,136.22
1105.38,-912.57,136.36
1105.39,-913.54,136.5
1105.4,-914.51,136.64
1105.41,-915.48,136.79
1105.42,-916.46,136.93
1105.43,-917.44,137.07
1105.44,-918.42,137.21
1105.45,-919.4,137.36
1105.46,-920.38,137.5
1105.47,-921.37,137.65
1105.48,-922.36,137.79
1105.49,-923.36,137.94
1105.5,-924.35,138.08
1105.51,-925.35,138.23
1105.52,-926.35,138.38
1105.53,-927.36,138.52
1105.54,-928.36,138.67
1105.55,-929.37,138.82
1105.56,-930.38,138.97
1105.57,-931.4,139.12
1105.58,-932.41,139.27
1105.59,-933.43,139.42
1105.6,-934.46,139.57
1105.61,-935.48,139.73
1105.62,-936.51,139.88
1105.63,-937.54,140.03
1105.64,-938.57,140.19
1105.65,-939.61,140.34
1105.66,-940.65,140.49
1105.67,-941.69,140.65
1105.68,-942.73,140.81
1105.69,-943.78,140.96
1105.7,-944.83,141.12
1105.71,-945.89,141.28
1105.72,-946.94,141.43
1105.73,-948,141.59
1105.74,-949.06,141.75
1105.75,-950.13,141.91
1105.76,-951.19,142.07
1105.77,-952.26,142.23
1105.78,-953.34,142.39
1105.79,-954.41,142.56
1105.8,-955.49,142.72
1105.81,-956.58,142.88
1105.82,-957.66,143.05
1105.83,-958.75,143.21
1105.84,-959.84,143.38
1105.85,-960.94,143.54
1105.86,-962.03,143.71
1105.87,-963.13,143.88
1105.88,-964.24,144.04
1105.89,-965.35,144.21
1105.9,-966.46,144.38
1105.91,-967.57,144.55
1105.92,-968.68,144.72
1105.93,-969.8,144.89
1105.94,-970.93,145.06
1105.95,-972.05,145.23
1105.96,-973.18,145.41
1105.97,-974.31,145.58
1105.98,-975.45,145.75
1105.99,-976.59,145.93
1106,-977.73,146.1
1106.01,-978.88,146.28
1106.02,-980.03,146.46
1106.03,-981.18,146.63
1106.04,-982.33,146.81
1106.05,-983.49,146.99
1106.06,-984.66,147.17
1106.07,-985.82,147.35
1106.08,-986.99,147.53
1106.09,-988.16,147.71
1106.1,-989.34,147.89
1106.11,-990.52,148.07
1106.12,-991.7,148.26
1106.13,-992.89,148.44
1106.14,-994.08,148.63
1106.15,-995.27,148.81
1106.16,-996.47,149
1106.17,-997.67,149.18
1106.18,-998.87,149.37
1106.19,-1000.08,149.56
1106.2,-1001.29,149.75
1106.21,-1002.51,149.94
1106.22,-1003.73,150.13
1106.23,-1004.95,150.32
1106.24,-1006.18,150.51
1106.25,-1007.41,150.7
1106.26,-1008.64,150.9
1106.27,-1009.88,151.09
1106.28,-1011.12,151.29
1106.29,-1012.36,151.48
1106.3,-1013.61,151.68
1106.31,-1014.87,151.88
1106.32,-1016.12,152.07
1106.33,-1017.38,152.27
1106.34,-1018.65,152.47
1106.35,-1019.92,152.67
1106.36,-1021.19,152.87
1106.37,-1022.47,153.07
1106.38,-1023.75,153.28
1106.39,-1025.03,153.48
1106.4,-1026.32,153.68
1106.41,-1027.61,153.89
1106.42,-1028.91,154.1
1106.43,-1030.21,154.3
1106.44,-1031.51,154.51
1106.45,-1032.82,154.72
