wavelength,,Uncertainty,,,,Uncertainty,,polarizability
1214.91,-564.61,88.72,,1214.91,800.16,2.38,,-1364.77
1214.92,-565.23,88.73,,1214.92,800.15,2.38,,-1365.38
1214.93,-565.86,88.73,,1214.93,800.13,2.38,,-1365.99
1214.94,-566.48,88.73,,1214.94,800.12,2.38,,-1366.6
1214.95,-567.11,88.74,,1214.95,800.11,2.38,,-1367.22
1214.96,-567.73,88.74,,1214.96,800.09,2.38,,-1367.82
1214.97,-568.36,88.74,,1214.97,800.08,2.38,,-1368.44
1214.98,-568.98,88.75,,1214.98,800.07,2.37,,-1369.05
1214.99,-569.6,88.75,,1214.99,800.05,2.37,,-1369.65
1215,-570.23,88.75,,1215,800.04,2.37,,-1370.27
1215.01,-570.85,88.76,,1215.01,800.02,2.37,,-1370.87
1215.02,-571.47,88.76,,1215.02,800.01,2.37,,-1371.48
1215.03,-572.1,88.76,,1215.03,800,2.37,,-1372.1
1215.04,-572.72,88.77,,1215.04,799.98,2.37,,-1372.7
1215.05,-573.34,88.77,,1215.05,799.97,2.37,,-1373.31
1215.06,-573.96,88.77,,1215.06,799.96,2.37,,-1373.92
1215.07,-574.58,88.78,,1215.07,799.94,2.37,,-1374.52
1215.08,-575.2,88.78,,1215.08,799.93,2.37,,-1375.13
1215.09,-575.82,88.78,,1215.09,799.92,2.37,,-1375.74
1215.1,-576.44,88.79,,1215.1,799.9,2.37,,-1376.34
1215.11,-577.06,88.79,,1215.11,799.89,2.37,,-1376.95
1215.12,-577.68,88.79,,1215.12,799.88,2.37,,-1377.56
1215.13,-578.3,88.8,,1215.13,799.86,2.37,,-1378.16
1215.14,-578.92,88.8,,1215.14,799.85,2.37,,-1378.77
1215.15,-579.54,88.8,,1215.15,799.84,2.37,,-1379.38
1215.16,-580.15,88.81,,1215.16,799.82,2.37,,-1379.97
1215.17,-580.77,88.81,,1215.17,799.81,2.37,,-1380.58
1215.18,-581.39,88.81,,1215.18,799.8,2.37,,-1381.19
1215.19,-582.01,88.82,,1215.19,799.78,2.37,,-1381.79
1215.2,-582.62,88.82,,1215.2,799.77,2.37,,-1382.39
1215.21,-583.24,88.82,,1215.21,799.75,2.37,,-1382.99
1215.22,-583.86,88.83,,1215.22,799.74,2.37,,-1383.6
1215.23,-584.47,88.83,,1215.23,799.73,2.37,,-1384.2
1215.24,-585.09,88.83,,1215.24,799.71,2.37,,-1384.8
1215.25,-585.71,88.84,,1215.25,799.7,2.37,,-1385.41
1215.26,-586.32,88.84,,1215.26,799.69,2.37,,-1386.01
1215.27,-586.94,88.85,,1215.27,799.67,2.37,,-1386.61
1215.28,-587.55,88.85,,1215.28,799.66,2.37,,-1387.21
1215.29,-588.17,88.85,,1215.29,799.65,2.37,,-1387.82
1215.3,-588.78,88.86,,1215.3,799.63,2.37,,-1388.41
1215.31,-589.4,88.86,,1215.31,799.62,2.37,,-1389.02
1215.32,-590.01,88.86,,1215.32,799.61,2.37,,-1389.62
1215.33,-590.63,88.87,,1215.33,799.59,2.37,,-1390.22
1215.34,-591.24,88.87,,1215.34,799.58,2.37,,-1390.82
1215.35,-591.85,88.87,,1215.35,799.57,2.37,,-1391.42
1215.36,-592.47,88.88,,1215.36,799.55,2.37,,-1392.02
1215.37,-593.08,88.88,,1215.37,799.54,2.37,,-1392.62
1215.38,-593.69,88.88,,1215.38,799.53,2.37,,-1393.22
1215.39,-594.31,88.89,,1215.39,799.51,2.37,,-1393.82
1215.4,-594.92,88.89,,1215.4,799.5,2.37,,-1394.42
1215.41,-595.53,88.89,,1215.41,799.48,2.37,,-1395.01
1215.42,-596.14,88.9,,1215.42,799.47,2.37,,-1395.61
1215.43,-596.76,88.9,,1215.43,799.46,2.37,,-1396.22
1215.44,-597.37,88.9,,1215.44,799.44,2.37,,-1396.81
1215.45,-597.98,88.91,,1215.45,799.43,2.37,,-1397.41
1215.46,-598.59,88.91,,1215.46,799.42,2.37,,-1398.01
1215.47,-599.2,88.92,,1215.47,799.4,2.37,,-1398.6
1215.48,-599.81,88.92,,1215.48,799.39,2.37,,-1399.2
1215.49,-600.43,88.92,,1215.49,799.38,2.37,,-1399.81
1215.5,-601.04,88.93,,1215.5,799.36,2.37,,-1400.4
1215.51,-601.65,88.93,,1215.51,799.35,2.37,,-1401
1215.52,-602.26,88.93,,1215.52,799.34,2.37,,-1401.6
1215.53,-602.87,88.94,,1215.53,799.32,2.37,,-1402.19
1215.54,-603.48,88.94,,1215.54,799.31,2.37,,-1402.79
1215.55,-604.09,88.94,,1215.55,799.3,2.37,,-1403.39
1215.56,-604.7,88.95,,1215.56,799.28,2.37,,-1403.98
1215.57,-605.31,88.95,,1215.57,799.27,2.37,,-1404.58
1215.58,-605.92,88.95,,1215.58,799.26,2.37,,-1405.18
1215.59,-606.53,88.96,,1215.59,799.24,2.37,,-1405.77
1215.6,-607.14,88.96,,1215.6,799.23,2.37,,-1406.37
1215.61,-607.75,88.97,,1215.61,799.22,2.37,,-1406.97
1215.62,-608.36,88.97,,1215.62,799.2,2.37,,-1407.56
1215.63,-608.97,88.97,,1215.63,799.19,2.37,,-1408.16
1215.64,-609.58,88.98,,1215.64,799.17,2.37,,-1408.75
1215.65,-610.19,88.98,,1215.65,799.16,2.37,,-1409.35
1215.66,-610.8,88.98,,1215.66,799.15,2.37,,-1409.95
1215.67,-611.41,88.99,,1215.67,799.13,2.37,,-1410.54
1215.68,-612.02,88.99,,1215.68,799.12,2.37,,-1411.14
1215.69,-612.63,88.99,,1215.69,799.11,2.37,,-1411.74
1215.7,-613.24,89,,1215.7,799.09,2.37,,-1412.33
1215.71,-613.85,89,,1215.71,799.08,2.37,,-1412.93
1215.72,-614.45,89,,1215.72,799.07,2.37,,-1413.52
1215.73,-615.06,89.01,,1215.73,799.05,2.37,,-1414.11
1215.74,-615.67,89.01,,1215.74,799.04,2.37,,-1414.71
1215.75,-616.28,89.02,,1215.75,799.03,2.37,,-1415.31
1215.76,-616.89,89.02,,1215.76,799.01,2.37,,-1415.9
1215.77,-617.5,89.02,,1215.77,799,2.37,,-1416.5
1215.78,-618.11,89.03,,1215.78,798.99,2.37,,-1417.1
1215.79,-618.72,89.03,,1215.79,798.97,2.37,,-1417.69
1215.8,-619.32,89.03,,1215.8,798.96,2.37,,-1418.28
1215.81,-619.93,89.04,,1215.81,798.95,2.37,,-1418.88
1215.82,-620.54,89.04,,1215.82,798.93,2.37,,-1419.47
1215.83,-621.15,89.05,,1215.83,798.92,2.37,,-1420.07
1215.84,-621.76,89.05,,1215.84,798.91,2.37,,-1420.67
1215.85,-622.37,89.05,,1215.85,798.89,2.37,,-1421.26
1215.86,-622.98,89.06,,1215.86,798.88,2.37,,-1421.86
1215.87,-623.58,89.06,,1215.87,798.87,2.37,,-1422.45
1215.88,-624.19,89.06,,1215.88,798.85,2.37,,-1423.04
1215.89,-624.8,89.07,,1215.89,798.84,2.37,,-1423.64
1215.9,-625.41,89.07,,1215.9,798.83,2.37,,-1424.24
1215.91,-626.02,89.07,,1215.91,798.81,2.37,,-1424.83
1215.92,-626.63,89.08,,1215.92,798.8,2.37,,-1425.43
1215.93,-627.23,89.08,,1215.93,798.78,2.37,,-1426.01
1215.94,-627.84,89.09,,1215.94,798.77,2.37,,-1426.61
1215.95,-628.45,89.09,,1215.95,798.76,2.37,,-1427.21
1215.96,-629.06,89.09,,1215.96,798.74,2.37,,-1427.8
1215.97,-629.67,89.1,,1215.97,798.73,2.37,,-1428.4
1215.98,-630.28,89.1,,1215.98,798.72,2.37,,-1429
1215.99,-630.88,89.1,,1215.99,798.7,2.37,,-1429.58
1216,-631.49,89.11,,1216,798.69,2.37,,-1430.18
1216.01,-632.1,89.11,,1216.01,798.68,2.37,,-1430.78
1216.02,-632.71,89.12,,1216.02,798.66,2.37,,-1431.37
1216.03,-633.32,89.12,,1216.03,798.65,2.37,,-1431.97
1216.04,-633.93,89.12,,1216.04,798.64,2.37,,-1432.57
1216.05,-634.54,89.13,,1216.05,798.62,2.37,,-1433.16
1216.06,-635.15,89.13,,1216.06,798.61,2.37,,-1433.76
1216.07,-635.75,89.13,,1216.07,798.6,2.37,,-1434.35
1216.08,-636.36,89.14,,1216.08,798.58,2.37,,-1434.94
1216.09,-636.97,89.14,,1216.09,798.57,2.37,,-1435.54
1216.1,-637.58,89.15,,1216.1,798.56,2.37,,-1436.14
1216.11,-638.19,89.15,,1216.11,798.54,2.37,,-1436.73
1216.12,-638.8,89.15,,1216.12,798.53,2.37,,-1437.33
1216.13,-639.41,89.16,,1216.13,798.52,2.37,,-1437.93
1216.14,-640.02,89.16,,1216.14,798.5,2.37,,-1438.52
1216.15,-640.63,89.17,,1216.15,798.49,2.37,,-1439.12
1216.16,-641.24,89.17,,1216.16,798.48,2.37,,-1439.72
1216.17,-641.85,89.17,,1216.17,798.46,2.37,,-1440.31
1216.18,-642.45,89.18,,1216.18,798.45,2.37,,-1440.9
1216.19,-643.06,89.18,,1216.19,798.44,2.37,,-1441.5
1216.2,-643.67,89.18,,1216.2,798.42,2.37,,-1442.09
1216.21,-644.28,89.19,,1216.21,798.41,2.37,,-1442.69
1216.22,-644.89,89.19,,1216.22,798.4,2.37,,-1443.29
1216.23,-645.5,89.2,,1216.23,798.38,2.37,,-1443.88
1216.24,-646.11,89.2,,1216.24,798.37,2.37,,-1444.48
1216.25,-646.72,89.2,,1216.25,798.36,2.37,,-1445.08
1216.26,-647.33,89.21,,1216.26,798.34,2.37,,-1445.67
1216.27,-647.94,89.21,,1216.27,798.33,2.37,,-1446.27
1216.28,-648.55,89.22,,1216.28,798.31,2.37,,-1446.86
1216.29,-649.17,89.22,,1216.29,798.3,2.37,,-1447.47
1216.3,-649.78,89.22,,1216.3,798.29,2.37,,-1448.07
1216.31,-650.39,89.23,,1216.31,798.27,2.37,,-1448.66
1216.32,-651,89.23,,1216.32,798.26,2.37,,-1449.26
1216.33,-651.61,89.23,,1216.33,798.25,2.37,,-1449.86
1216.34,-652.22,89.24,,1216.34,798.23,2.37,,-1450.45
1216.35,-652.83,89.24,,1216.35,798.22,2.37,,-1451.05
1216.36,-653.44,89.25,,1216.36,798.21,2.37,,-1451.65
1216.37,-654.05,89.25,,1216.37,798.19,2.37,,-1452.24
1216.38,-654.67,89.25,,1216.38,798.18,2.37,,-1452.85
1216.39,-655.28,89.26,,1216.39,798.17,2.37,,-1453.45
1216.4,-655.89,89.26,,1216.4,798.15,2.37,,-1454.04
1216.41,-656.5,89.27,,1216.41,798.14,2.37,,-1454.64
1216.42,-657.11,89.27,,1216.42,798.13,2.37,,-1455.24
1216.43,-657.73,89.27,,1216.43,798.11,2.37,,-1455.84
1216.44,-658.34,89.28,,1216.44,798.1,2.37,,-1456.44
1216.45,-658.95,89.28,,1216.45,798.09,2.37,,-1457.04
1216.46,-659.57,89.29,,1216.46,798.07,2.37,,-1457.64
1216.47,-660.18,89.29,,1216.47,798.06,2.37,,-1458.24
1216.48,-660.79,89.29,,1216.48,798.05,2.37,,-1458.84
1216.49,-661.41,89.3,,1216.49,798.03,2.37,,-1459.44
1216.5,-662.02,89.3,,1216.5,798.02,2.37,,-1460.04
1216.51,-662.63,89.31,,1216.51,798.01,2.37,,-1460.64
1216.52,-663.25,89.31,,1216.52,797.99,2.37,,-1461.24
1216.53,-663.86,89.31,,1216.53,797.98,2.37,,-1461.84
1216.54,-664.48,89.32,,1216.54,797.97,2.37,,-1462.45
1216.55,-665.09,89.32,,1216.55,797.95,2.37,,-1463.04
1216.56,-665.71,89.33,,1216.56,797.94,2.37,,-1463.65
1216.57,-666.32,89.33,,1216.57,797.93,2.37,,-1464.25
1216.58,-666.94,89.33,,1216.58,797.91,2.37,,-1464.85
1216.59,-667.55,89.34,,1216.59,797.9,2.37,,-1465.45
1216.6,-668.17,89.34,,1216.6,797.89,2.37,,-1466.06
1216.61,-668.78,89.35,,1216.61,797.87,2.37,,-1466.65
1216.62,-669.4,89.35,,1216.62,797.86,2.37,,-1467.26
1216.63,-670.01,89.35,,1216.63,797.85,2.37,,-1467.86
1216.64,-670.63,89.36,,1216.64,797.83,2.37,,-1468.46
1216.65,-671.25,89.36,,1216.65,797.82,2.37,,-1469.07
1216.66,-671.86,89.37,,1216.66,797.81,2.37,,-1469.67
1216.67,-672.48,89.37,,1216.67,797.79,2.37,,-1470.27
1216.68,-673.1,89.37,,1216.68,797.78,2.37,,-1470.88
1216.69,-673.72,89.38,,1216.69,797.77,2.37,,-1471.49
1216.7,-674.33,89.38,,1216.7,797.75,2.37,,-1472.08
1216.71,-674.95,89.39,,1216.71,797.74,2.37,,-1472.69
1216.72,-675.57,89.39,,1216.72,797.73,2.37,,-1473.3
1216.73,-676.19,89.39,,1216.73,797.71,2.37,,-1473.9
1216.74,-676.81,89.4,,1216.74,797.7,2.37,,-1474.51
1216.75,-677.43,89.4,,1216.75,797.69,2.37,,-1475.12
1216.76,-678.04,89.41,,1216.76,797.67,2.37,,-1475.71
1216.77,-678.66,89.41,,1216.77,797.66,2.37,,-1476.32
1216.78,-679.28,89.41,,1216.78,797.65,2.37,,-1476.93
1216.79,-679.9,89.42,,1216.79,797.63,2.37,,-1477.53
1216.8,-680.52,89.42,,1216.8,797.62,2.37,,-1478.14
1216.81,-681.14,89.43,,1216.81,797.61,2.37,,-1478.75
1216.82,-681.76,89.43,,1216.82,797.59,2.37,,-1479.35
1216.83,-682.39,89.43,,1216.83,797.58,2.37,,-1479.97
1216.84,-683.01,89.44,,1216.84,797.57,2.37,,-1480.58
1216.85,-683.63,89.44,,1216.85,797.55,2.37,,-1481.18
1216.86,-684.25,89.45,,1216.86,797.54,2.37,,-1481.79
1216.87,-684.87,89.45,,1216.87,797.52,2.37,,-1482.39
1216.88,-685.49,89.45,,1216.88,797.51,2.37,,-1483
1216.89,-686.12,89.46,,1216.89,797.5,2.37,,-1483.62
1216.9,-686.74,89.46,,1216.9,797.48,2.37,,-1484.22
1216.91,-687.36,89.47,,1216.91,797.47,2.37,,-1484.83
1216.92,-687.99,89.47,,1216.92,797.46,2.37,,-1485.45
1216.93,-688.61,89.48,,1216.93,797.44,2.37,,-1486.05
1216.94,-689.23,89.48,,1216.94,797.43,2.37,,-1486.66
1216.95,-689.86,89.48,,1216.95,797.42,2.37,,-1487.28
1216.96,-690.48,89.49,,1216.96,797.4,2.37,,-1487.88
1216.97,-691.11,89.49,,1216.97,797.39,2.37,,-1488.5
1216.98,-691.73,89.5,,1216.98,797.38,2.37,,-1489.11
1216.99,-692.36,89.5,,1216.99,797.36,2.37,,-1489.72
1217,-692.98,89.5,,1217,797.35,2.37,,-1490.33
1217.01,-693.61,89.51,,1217.01,797.34,2.37,,-1490.95
1217.02,-694.24,89.51,,1217.02,797.32,2.37,,-1491.56
1217.03,-694.86,89.52,,1217.03,797.31,2.37,,-1492.17
1217.04,-695.49,89.52,,1217.04,797.3,2.37,,-1492.79
1217.05,-696.12,89.53,,1217.05,797.28,2.37,,-1493.4
1217.06,-696.75,89.53,,1217.06,797.27,2.37,,-1494.02
1217.07,-697.37,89.53,,1217.07,797.26,2.37,,-1494.63
1217.08,-698,89.54,,1217.08,797.24,2.37,,-1495.24
1217.09,-698.63,89.54,,1217.09,797.23,2.37,,-1495.86
1217.1,-699.26,89.55,,1217.1,797.22,2.37,,-1496.48
1217.11,-699.89,89.55,,1217.11,797.2,2.37,,-1497.09
1217.12,-700.52,89.55,,1217.12,797.19,2.37,,-1497.71
1217.13,-701.15,89.56,,1217.13,797.18,2.37,,-1498.33
1217.14,-701.78,89.56,,1217.14,797.16,2.37,,-1498.94
1217.15,-702.41,89.57,,1217.15,797.15,2.37,,-1499.56
1217.16,-703.04,89.57,,1217.16,797.14,2.37,,-1500.18
1217.17,-703.67,89.58,,1217.17,797.12,2.37,,-1500.79
1217.18,-704.31,89.58,,1217.18,797.11,2.37,,-1501.42
1217.19,-704.94,89.58,,1217.19,797.1,2.37,,-1502.04
1217.2,-705.57,89.59,,1217.2,797.08,2.37,,-1502.65
1217.21,-706.2,89.59,,1217.21,797.07,2.37,,-1503.27
1217.22,-706.84,89.6,,1217.22,797.06,2.37,,-1503.9
1217.23,-707.47,89.6,,1217.23,797.04,2.37,,-1504.51
1217.24,-708.1,89.61,,1217.24,797.03,2.37,,-1505.13
1217.25,-708.74,89.61,,1217.25,797.02,2.37,,-1505.76
1217.26,-709.37,89.61,,1217.26,797,2.37,,-1506.37
1217.27,-710.01,89.62,,1217.27,796.99,2.37,,-1507
1217.28,-710.64,89.62,,1217.28,796.98,2.37,,-1507.62
1217.29,-711.28,89.63,,1217.29,796.96,2.37,,-1508.24
1217.3,-711.92,89.63,,1217.3,796.95,2.37,,-1508.87
1217.31,-712.55,89.64,,1217.31,796.94,2.37,,-1509.49
1217.32,-713.19,89.64,,1217.32,796.92,2.37,,-1510.11
1217.33,-713.83,89.64,,1217.33,796.91,2.36,,-1510.74
1217.34,-714.47,89.65,,1217.34,796.9,2.36,,-1511.37
1217.35,-715.1,89.65,,1217.35,796.88,2.36,,-1511.98
1217.36,-715.74,89.66,,1217.36,796.87,2.36,,-1512.61
1217.37,-716.38,89.66,,1217.37,796.86,2.36,,-1513.24
1217.38,-717.02,89.67,,1217.38,796.84,2.36,,-1513.86
1217.39,-717.66,89.67,,1217.39,796.83,2.36,,-1514.49
1217.4,-718.3,89.68,,1217.4,796.82,2.36,,-1515.12
1217.41,-718.94,89.68,,1217.41,796.8,2.36,,-1515.74
1217.42,-719.58,89.68,,1217.42,796.79,2.36,,-1516.37
1217.43,-720.23,89.69,,1217.43,796.78,2.36,,-1517.01
1217.44,-720.87,89.69,,1217.44,796.76,2.36,,-1517.63
1217.45,-721.51,89.7,,1217.45,796.75,2.36,,-1518.26
1217.46,-722.15,89.7,,1217.46,796.74,2.36,,-1518.89
1217.47,-722.8,89.71,,1217.47,796.72,2.36,,-1519.52
1217.48,-723.44,89.71,,1217.48,796.71,2.36,,-1520.15
1217.49,-724.08,89.71,,1217.49,796.7,2.36,,-1520.78
1217.5,-724.73,89.72,,1217.5,796.68,2.36,,-1521.41
1217.51,-725.37,89.72,,1217.51,796.67,2.36,,-1522.04
1217.52,-726.02,89.73,,1217.52,796.66,2.36,,-1522.68
1217.53,-726.67,89.73,,1217.53,796.64,2.36,,-1523.31
1217.54,-727.31,89.74,,1217.54,796.63,2.36,,-1523.94
1217.55,-727.96,89.74,,1217.55,796.62,2.36,,-1524.58
1217.56,-728.61,89.75,,1217.56,796.6,2.36,,-1525.21
1217.57,-729.25,89.75,,1217.57,796.59,2.36,,-1525.84
1217.58,-729.9,89.75,,1217.58,796.58,2.36,,-1526.48
1217.59,-730.55,89.76,,1217.59,796.56,2.36,,-1527.11
1217.6,-731.2,89.76,,1217.6,796.55,2.36,,-1527.75
1217.61,-731.85,89.77,,1217.61,796.54,2.36,,-1528.39
1217.62,-732.5,89.77,,1217.62,796.52,2.36,,-1529.02
1217.63,-733.15,89.78,,1217.63,796.51,2.36,,-1529.66
1217.64,-733.8,89.78,,1217.64,796.5,2.36,,-1530.3
1217.65,-734.45,89.79,,1217.65,796.48,2.36,,-1530.93
1217.66,-735.11,89.79,,1217.66,796.47,2.36,,-1531.58
1217.67,-735.76,89.79,,1217.67,796.46,2.36,,-1532.22
1217.68,-736.41,89.8,,1217.68,796.44,2.36,,-1532.85
1217.69,-737.07,89.8,,1217.69,796.43,2.36,,-1533.5
1217.7,-737.72,89.81,,1217.7,796.42,2.36,,-1534.14
1217.71,-738.37,89.81,,1217.71,796.41,2.36,,-1534.78
1217.72,-739.03,89.82,,1217.72,796.39,2.36,,-1535.42
1217.73,-739.69,89.82,,1217.73,796.38,2.36,,-1536.07
1217.74,-740.34,89.83,,1217.74,796.37,2.36,,-1536.71
1217.75,-741,89.83,,1217.75,796.35,2.36,,-1537.35
1217.76,-741.66,89.83,,1217.76,796.34,2.36,,-1538
1217.77,-742.31,89.84,,1217.77,796.33,2.36,,-1538.64
1217.78,-742.97,89.84,,1217.78,796.31,2.36,,-1539.28
1217.79,-743.63,89.85,,1217.79,796.3,2.36,,-1539.93
1217.8,-744.29,89.85,,1217.8,796.29,2.36,,-1540.58
1217.81,-744.95,89.86,,1217.81,796.27,2.36,,-1541.22
1217.82,-745.61,89.86,,1217.82,796.26,2.36,,-1541.87
1217.83,-746.27,89.87,,1217.83,796.25,2.36,,-1542.52
1217.84,-746.93,89.87,,1217.84,796.23,2.36,,-1543.16
1217.85,-747.59,89.88,,1217.85,796.22,2.36,,-1543.81
1217.86,-748.26,89.88,,1217.86,796.21,2.36,,-1544.47
1217.87,-748.92,89.89,,1217.87,796.19,2.36,,-1545.11
1217.88,-749.58,89.89,,1217.88,796.18,2.36,,-1545.76
1217.89,-750.25,89.89,,1217.89,796.17,2.36,,-1546.42
1217.9,-750.91,89.9,,1217.9,796.15,2.36,,-1547.06
1217.91,-751.58,89.9,,1217.91,796.14,2.36,,-1547.72
1217.92,-752.24,89.91,,1217.92,796.13,2.36,,-1548.37
1217.93,-752.91,89.91,,1217.93,796.11,2.36,,-1549.02
1217.94,-753.57,89.92,,1217.94,796.1,2.36,,-1549.67
1217.95,-754.24,89.92,,1217.95,796.09,2.36,,-1550.33
1217.96,-754.91,89.93,,1217.96,796.07,2.36,,-1550.98
1217.97,-755.58,89.93,,1217.97,796.06,2.36,,-1551.64
1217.98,-756.25,89.94,,1217.98,796.05,2.36,,-1552.3
1217.99,-756.92,89.94,,1217.99,796.03,2.36,,-1552.95
1218,-757.59,89.95,,1218,796.02,2.36,,-1553.61
1218.01,-758.26,89.95,,1218.01,796.01,2.36,,-1554.27
1218.02,-758.93,89.95,,1218.02,795.99,2.36,,-1554.92
1218.03,-759.6,89.96,,1218.03,795.98,2.36,,-1555.58
1218.04,-760.27,89.96,,1218.04,795.97,2.36,,-1556.24
1218.05,-760.95,89.97,,1218.05,795.95,2.36,,-1556.9
1218.06,-761.62,89.97,,1218.06,795.94,2.36,,-1557.56
1218.07,-762.3,89.98,,1218.07,795.93,2.36,,-1558.23
1218.08,-762.97,89.98,,1218.08,795.91,2.36,,-1558.88
1218.09,-763.65,89.99,,1218.09,795.9,2.36,,-1559.55
1218.1,-764.32,89.99,,1218.1,795.89,2.36,,-1560.21
1218.11,-765,90,,1218.11,795.87,2.36,,-1560.87
1218.12,-765.68,90,,1218.12,795.86,2.36,,-1561.54
1218.13,-766.35,90.01,,1218.13,795.85,2.36,,-1562.2
1218.14,-767.03,90.01,,1218.14,795.83,2.36,,-1562.86
1218.15,-767.71,90.02,,1218.15,795.82,2.36,,-1563.53
1218.16,-768.39,90.02,,1218.16,795.81,2.36,,-1564.2
1218.17,-769.07,90.02,,1218.17,795.79,2.36,,-1564.86
1218.18,-769.75,90.03,,1218.18,795.78,2.36,,-1565.53
1218.19,-770.44,90.03,,1218.19,795.77,2.36,,-1566.21
1218.2,-771.12,90.04,,1218.2,795.75,2.36,,-1566.87
1218.21,-771.8,90.04,,1218.21,795.74,2.36,,-1567.54
1218.22,-772.49,90.05,,1218.22,795.73,2.36,,-1568.22
1218.23,-773.17,90.05,,1218.23,795.71,2.36,,-1568.88
1218.24,-773.85,90.06,,1218.24,795.7,2.36,,-1569.55
1218.25,-774.54,90.06,,1218.25,795.69,2.36,,-1570.23
1218.26,-775.23,90.07,,1218.26,795.67,2.36,,-1570.9
1218.27,-775.91,90.07,,1218.27,795.66,2.36,,-1571.57
1218.28,-776.6,90.08,,1218.28,795.65,2.36,,-1572.25
1218.29,-777.29,90.08,,1218.29,795.64,2.36,,-1572.93
1218.3,-777.98,90.09,,1218.3,795.62,2.36,,-1573.6
1218.31,-778.67,90.09,,1218.31,795.61,2.36,,-1574.28
1218.32,-779.36,90.1,,1218.32,795.6,2.36,,-1574.96
1218.33,-780.05,90.1,,1218.33,795.58,2.36,,-1575.63
1218.34,-780.74,90.11,,1218.34,795.57,2.36,,-1576.31
1218.35,-781.43,90.11,,1218.35,795.56,2.36,,-1576.99
1218.36,-782.13,90.12,,1218.36,795.54,2.36,,-1577.67
1218.37,-782.82,90.12,,1218.37,795.53,2.36,,-1578.35
1218.38,-783.51,90.13,,1218.38,795.52,2.36,,-1579.03
1218.39,-784.21,90.13,,1218.39,795.5,2.36,,-1579.71
1218.4,-784.91,90.14,,1218.4,795.49,2.36,,-1580.4
1218.41,-785.6,90.14,,1218.41,795.48,2.36,,-1581.08
1218.42,-786.3,90.15,,1218.42,795.46,2.36,,-1581.76
1218.43,-787,90.15,,1218.43,795.45,2.36,,-1582.45
1218.44,-787.69,90.15,,1218.44,795.44,2.36,,-1583.13
1218.45,-788.39,90.16,,1218.45,795.42,2.36,,-1583.81
1218.46,-789.09,90.16,,1218.46,795.41,2.36,,-1584.5
1218.47,-789.79,90.17,,1218.47,795.4,2.36,,-1585.19
1218.48,-790.5,90.17,,1218.48,795.38,2.36,,-1585.88
1218.49,-791.2,90.18,,1218.49,795.37,2.36,,-1586.57
1218.5,-791.9,90.18,,1218.5,795.36,2.36,,-1587.26
1218.51,-792.6,90.19,,1218.51,795.34,2.36,,-1587.94
1218.52,-793.31,90.19,,1218.52,795.33,2.36,,-1588.64
1218.53,-794.01,90.2,,1218.53,795.32,2.36,,-1589.33
1218.54,-794.72,90.2,,1218.54,795.3,2.36,,-1590.02
1218.55,-795.43,90.21,,1218.55,795.29,2.36,,-1590.72
1218.56,-796.13,90.21,,1218.56,795.28,2.36,,-1591.41
1218.57,-796.84,90.22,,1218.57,795.26,2.36,,-1592.1
1218.58,-797.55,90.22,,1218.58,795.25,2.36,,-1592.8
1218.59,-798.26,90.23,,1218.59,795.24,2.36,,-1593.5
1218.6,-798.97,90.23,,1218.6,795.22,2.36,,-1594.19
1218.61,-799.68,90.24,,1218.61,795.21,2.36,,-1594.89
1218.62,-800.39,90.24,,1218.62,795.2,2.36,,-1595.59
1218.63,-801.11,90.25,,1218.63,795.18,2.36,,-1596.29
1218.64,-801.82,90.25,,1218.64,795.17,2.36,,-1596.99
1218.65,-802.53,90.26,,1218.65,795.16,2.36,,-1597.69
1218.66,-803.25,90.26,,1218.66,795.15,2.36,,-1598.4
1218.67,-803.96,90.27,,1218.67,795.13,2.36,,-1599.09
1218.68,-804.68,90.27,,1218.68,795.12,2.36,,-1599.8
1218.69,-805.4,90.28,,1218.69,795.11,2.36,,-1600.51
1218.7,-806.11,90.28,,1218.7,795.09,2.36,,-1601.2
1218.71,-806.83,90.29,,1218.71,795.08,2.36,,-1601.91
1218.72,-807.55,90.29,,1218.72,795.07,2.36,,-1602.62
1218.73,-808.27,90.3,,1218.73,795.05,2.36,,-1603.32
1218.74,-808.99,90.3,,1218.74,795.04,2.36,,-1604.03
1218.75,-809.72,90.31,,1218.75,795.03,2.36,,-1604.75
1218.76,-810.44,90.31,,1218.76,795.01,2.36,,-1605.45
1218.77,-811.16,90.32,,1218.77,795,2.36,,-1606.16
1218.78,-811.89,90.32,,1218.78,794.99,2.36,,-1606.88
1218.79,-812.61,90.33,,1218.79,794.97,2.36,,-1607.58
1218.8,-813.34,90.33,,1218.8,794.96,2.36,,-1608.3
1218.81,-814.06,90.34,,1218.81,794.95,2.36,,-1609.01
1218.82,-814.79,90.34,,1218.82,794.93,2.36,,-1609.72
1218.83,-815.52,90.35,,1218.83,794.92,2.36,,-1610.44
1218.84,-816.25,90.36,,1218.84,794.91,2.36,,-1611.16
1218.85,-816.98,90.36,,1218.85,794.89,2.36,,-1611.87
1218.86,-817.71,90.37,,1218.86,794.88,2.36,,-1612.59
1218.87,-818.44,90.37,,1218.87,794.87,2.36,,-1613.31
1218.88,-819.18,90.38,,1218.88,794.85,2.36,,-1614.03
1218.89,-819.91,90.38,,1218.89,794.84,2.36,,-1614.75
1218.9,-820.64,90.39,,1218.9,794.83,2.36,,-1615.47
